timestamp,accX,accY,accZ
0,0.52,-0.09,0.89
16,0.55,-0.12,0.91
32,0.58,-0.17,0.93
48,0.61,-0.23,0.94
64,0.62,-0.22,0.94
80,0.59,-0.17,0.91
96,0.56,-0.14,0.91
112,0.53,-0.14,0.88
128,0.54,-0.13,0.87
144,0.58,-0.13,0.84
160,0.62,-0.11,0.78
176,0.65,-0.14,0.72
192,0.68,-0.18,0.69
208,0.68,-0.21,0.70
224,0.66,-0.19,0.71
240,0.62,-0.16,0.77
256,0.62,-0.13,0.79
272,0.62,-0.15,0.78
288,0.64,-0.16,0.79
304,0.65,-0.17,0.78
320,0.63,-0.16,0.76
336,0.60,-0.17,0.75
352,0.60,-0.18,0.79
368,0.62,-0.18,0.81
384,0.65,-0.15,0.79
400,0.67,-0.13,0.75
416,0.69,-0.10,0.74
432,0.68,-0.07,0.73
448,0.64,-0.05,0.70
464,0.62,-0.07,0.70
480,0.62,-0.09,0.73
496,0.65,-0.16,0.73
512,0.68,-0.21,0.73
528,0.69,-0.22,0.72
544,0.68,-0.23,0.71
560,0.66,-0.21,0.70
576,0.63,-0.18,0.72
592,0.64,-0.17,0.73
608,0.65,-0.18,0.73
624,0.64,-0.19,0.75
640,0.65,-0.24,0.76
656,0.66,-0.23,0.75
672,0.66,-0.23,0.77
688,0.65,-0.25,0.78
704,0.63,-0.24,0.77
720,0.62,-0.23,0.76
736,0.63,-0.22,0.75
752,0.62,-0.19,0.75
768,0.63,-0.20,0.74
784,0.61,-0.20,0.75
800,0.60,-0.21,0.74
816,0.62,-0.22,0.72
832,0.63,-0.22,0.71
848,0.63,-0.24,0.73
864,0.64,-0.25,0.75
880,0.61,-0.25,0.78
896,0.60,-0.25,0.78
912,0.59,-0.25,0.76
928,0.61,-0.27,0.75
944,0.62,-0.28,0.76
960,0.62,-0.28,0.77
976,0.63,-0.29,0.77
992,0.62,-0.31,0.80
1008,0.60,-0.33,0.83
1024,0.59,-0.30,0.82
1040,0.58,-0.27,0.80
1056,0.57,-0.26,0.80
1072,0.54,-0.23,0.78
1088,0.53,-0.22,0.78
1104,0.54,-0.23,0.82
1120,0.57,-0.25,0.82
1136,0.60,-0.28,0.81
1152,0.60,-0.27,0.82
1168,0.59,-0.26,0.86
1184,0.58,-0.26,0.87
1200,0.57,-0.24,0.86
1216,0.58,-0.19,0.86
1232,0.58,-0.18,0.86
1248,0.58,-0.20,0.88
1264,0.58,-0.22,0.86
1280,0.58,-0.22,0.83
1296,0.60,-0.22,0.82
1312,0.62,-0.25,0.79
1328,0.64,-0.29,0.76
1344,0.63,-0.27,0.75
1360,0.62,-0.24,0.74
1376,0.62,-0.22,0.75
1392,0.58,-0.24,0.77
1408,0.56,-0.23,0.78
1424,0.63,-0.24,0.73
1440,0.62,-0.26,0.75
1456,0.63,-0.24,0.81
1472,0.63,-0.23,0.78
1488,0.62,-0.23,0.78
1504,0.62,-0.23,0.76
1520,0.61,-0.24,0.75
1536,0.61,-0.22,0.74
1552,0.61,-0.23,0.74
1568,0.63,-0.23,0.75
1584,0.63,-0.26,0.75
1600,0.63,-0.27,0.76
1616,0.64,-0.28,0.77
1632,0.63,-0.29,0.76
1648,0.63,-0.28,0.75
1664,0.62,-0.26,0.74
1680,0.63,-0.26,0.74
1696,0.63,-0.24,0.73
1712,0.63,-0.23,0.73
1728,0.63,-0.23,0.73
1744,0.63,-0.23,0.74
1760,0.63,-0.24,0.75
1776,0.64,-0.23,0.76
1792,0.63,-0.23,0.75
1808,0.63,-0.22,0.75
1824,0.63,-0.21,0.75
1840,0.62,-0.22,0.75
1856,0.63,-0.23,0.76
1872,0.62,-0.24,0.76
1888,0.62,-0.23,0.76
1904,0.62,-0.23,0.76
1920,0.62,-0.23,0.75
1936,0.62,-0.23,0.75
1952,0.63,-0.24,0.76
1968,0.62,-0.25,0.76
1984,0.62,-0.25,0.76
