timestamp,accX,accY,accZ
0,0.16,0.30,0.96
16,0.17,0.30,0.96
32,0.17,0.30,0.96
48,0.16,0.31,0.97
64,0.15,0.32,0.97
80,0.15,0.31,0.97
96,0.15,0.29,0.98
112,0.15,0.29,0.98
128,0.15,0.28,0.98
144,0.15,0.27,0.99
160,0.14,0.27,0.99
176,0.15,0.26,0.99
192,0.16,0.26,0.98
208,0.16,0.26,0.97
224,0.16,0.26,0.97
240,0.16,0.26,0.97
256,0.15,0.26,0.97
272,0.14,0.26,0.97
288,0.14,0.26,0.97
304,0.14,0.26,0.96
320,0.15,0.26,0.96
336,0.16,0.25,0.95
352,0.17,0.24,0.95
368,0.17,0.24,0.95
384,0.17,0.25,0.95
400,0.16,0.26,0.95
416,0.16,0.27,0.94
432,0.15,0.28,0.93
448,0.16,0.27,0.94
464,0.16,0.26,0.94
480,0.17,0.25,0.95
496,0.17,0.24,0.96
512,0.17,0.24,0.96
528,0.16,0.25,0.95
544,0.17,0.26,0.95
560,0.16,0.26,0.94
576,0.17,0.26,0.94
592,0.16,0.26,0.94
608,0.16,0.26,0.94
624,0.17,0.26,0.94
640,0.17,0.25,0.95
656,0.17,0.25,0.96
672,0.17,0.25,0.96
688,0.17,0.25,0.95
704,0.17,0.25,0.96
720,0.17,0.25,0.95
736,0.17,0.25,0.94
752,0.18,0.24,0.94
768,0.18,0.23,0.94
784,0.18,0.23,0.95
800,0.18,0.23,0.95
816,0.18,0.21,0.95
832,0.18,0.20,0.96
848,0.19,0.20,0.95
864,0.20,0.19,0.95
880,0.20,0.18,0.95
896,0.20,0.19,0.95
912,0.20,0.19,0.95
928,0.20,0.19,0.95
944,0.20,0.20,0.95
960,0.19,0.19,0.96
976,0.20,0.20,0.96
992,0.19,0.19,0.97
1008,0.19,0.18,0.98
1024,0.20,0.17,0.99
1040,0.21,0.16,1.00
1056,0.22,0.17,1.00
1072,0.22,0.19,0.98
1088,0.22,0.20,0.97
1104,0.22,0.20,0.96
1120,0.22,0.20,0.96
1136,0.22,0.20,0.96
1152,0.22,0.20,0.95
1168,0.23,0.19,0.95
1184,0.23,0.18,0.96
1200,0.24,0.17,0.96
1216,0.24,0.15,0.96
1232,0.25,0.14,0.97
1248,0.25,0.14,0.97
1264,0.25,0.13,0.99
1280,0.24,0.14,0.98
1296,0.23,0.16,0.99
1312,0.22,0.16,0.98
1328,0.21,0.16,0.98
1344,0.21,0.14,0.99
1360,0.21,0.13,0.99
1376,0.22,0.13,1.00
1392,0.23,0.13,1.00
1408,0.23,0.13,0.99
1424,0.23,0.14,0.98
1440,0.22,0.14,0.98
1456,0.22,0.15,0.97
1472,0.22,0.13,0.97
1488,0.22,0.13,0.97
1504,0.22,0.13,0.97
1520,0.22,0.12,0.98
1536,0.22,0.12,0.98
1552,0.22,0.12,0.97
1568,0.22,0.12,0.97
1584,0.21,0.12,0.96
1600,0.21,0.12,0.96
1616,0.22,0.12,0.94
1632,0.22,0.09,0.96
1648,0.23,0.07,1.00
1664,0.23,0.09,1.02
1680,0.20,0.10,1.02
1696,0.19,0.11,1.02
1712,0.20,0.10,1.02
1728,0.21,0.11,1.00
1744,0.21,0.10,0.98
1760,0.23,0.09,0.98
1776,0.24,0.09,0.98
1792,0.24,0.09,0.97
1808,0.23,0.10,0.96
1824,0.23,0.10,0.94
1840,0.24,0.10,0.94
1856,0.23,0.09,0.95
1872,0.23,0.08,0.95
1888,0.22,0.08,0.96
1904,0.23,0.06,0.98
1920,0.21,0.06,1.00
1936,0.22,0.06,1.02
1952,0.20,0.06,1.02
1968,0.20,0.06,1.02
1984,0.20,0.07,1.01
