timestamp,accX,accY,accZ
0,0.23,-0.07,0.96
16,0.23,-0.07,0.96
32,0.23,-0.08,0.97
48,0.23,-0.08,0.98
64,0.23,-0.08,0.99
80,0.22,-0.07,0.99
96,0.22,-0.06,0.98
112,0.21,-0.05,0.98
128,0.21,-0.06,0.98
144,0.21,-0.06,0.98
160,0.21,-0.08,0.98
176,0.22,-0.08,0.99
192,0.18,-0.06,0.98
208,0.06,0.04,1.00
224,0.24,-0.08,0.99
240,0.16,0.00,1.00
256,0.17,-0.05,0.96
272,0.19,-0.04,0.98
288,0.17,-0.04,0.98
304,0.18,-0.04,0.98
320,0.17,-0.04,0.99
336,0.17,-0.03,1.00
352,0.17,-0.02,0.99
368,0.16,-0.02,0.99
384,0.16,-0.00,0.99
400,0.16,-0.01,0.99
416,0.17,-0.01,0.99
432,0.17,-0.01,0.98
448,0.18,-0.01,0.98
464,0.18,-0.01,0.97
480,0.18,-0.02,0.98
496,0.18,-0.02,0.98
512,0.19,-0.03,0.98
528,0.20,-0.02,0.98
544,0.20,-0.03,0.98
560,0.20,-0.02,0.99
576,0.20,-0.01,0.99
592,0.20,-0.00,0.99
608,0.20,0.00,0.98
624,0.20,-0.00,0.98
640,0.21,-0.01,0.98
656,0.22,-0.01,0.99
672,0.22,-0.02,0.99
688,0.22,-0.02,0.99
704,0.22,-0.02,0.99
720,0.21,-0.01,0.99
736,0.21,-0.00,0.99
752,0.21,0.01,0.99
768,0.20,0.01,0.99
784,0.21,0.01,0.99
800,0.21,0.00,0.98
816,0.21,-0.00,0.98
832,0.21,-0.00,0.98
848,0.21,-0.00,0.98
864,0.21,-0.00,0.98
880,0.21,-0.00,0.98
896,0.21,-0.00,0.98
912,0.21,-0.01,0.98
928,0.22,-0.01,0.98
944,0.22,-0.01,0.98
960,0.21,-0.01,0.97
976,0.21,-0.00,0.97
992,0.21,-0.00,0.97
1008,0.21,-0.01,0.97
1024,0.21,-0.02,0.97
1040,0.22,-0.02,0.97
1056,0.22,-0.02,0.97
1072,0.22,-0.02,0.97
1088,0.22,-0.01,0.97
1104,0.21,-0.01,0.97
1120,0.21,0.00,0.97
1136,0.21,0.00,0.98
1152,0.21,0.01,0.97
1168,0.22,0.01,0.98
1184,0.22,0.01,0.98
1200,0.22,0.01,0.98
1216,0.23,0.02,0.98
1232,0.23,0.01,0.99
1248,0.24,0.01,0.98
1264,0.24,0.01,0.99
1280,0.24,0.01,0.99
1296,0.24,0.01,0.99
1312,0.24,0.01,0.99
1328,0.25,0.01,0.98
1344,0.25,0.01,0.99
1360,0.25,0.00,0.98
1376,0.25,0.00,0.99
1392,0.25,0.00,0.98
1408,0.25,0.01,0.98
1424,0.25,0.00,0.98
1440,0.25,0.00,0.98
1456,0.25,-0.00,0.98
1472,0.25,0.00,0.98
1488,0.25,0.01,0.98
1504,0.25,0.01,0.98
1520,0.24,0.01,0.98
1536,0.24,0.01,0.97
1552,0.24,0.01,0.97
1568,0.24,0.01,0.97
1584,0.24,0.00,0.98
1600,0.25,0.00,0.98
1616,0.25,0.00,0.98
1632,0.24,0.00,0.98
1648,0.24,0.01,0.98
1664,0.24,0.02,0.97
1680,0.24,0.02,0.97
1696,0.24,0.02,0.97
1712,0.24,0.01,0.98
1728,0.24,0.01,0.98
1744,0.24,0.01,0.98
1760,0.24,0.01,0.98
1776,0.25,0.01,0.97
1792,0.25,0.01,0.97
1808,0.25,0.00,0.97
1824,0.25,0.01,0.97
1840,0.25,0.01,0.97
1856,0.25,0.01,0.97
1872,0.25,0.01,0.97
1888,0.26,0.01,0.97
1904,0.26,0.01,0.97
1920,0.26,0.02,0.97
1936,0.26,0.01,0.97
1952,0.26,0.02,0.97
1968,0.26,0.01,0.97
1984,0.27,0.01,0.97
