timestamp,accX,accY,accZ
0,-0.43,-0.21,0.81
16,-0.44,-0.20,0.82
32,-0.45,-0.19,0.84
48,-0.44,-0.21,0.85
64,-0.45,-0.21,0.84
80,-0.45,-0.21,0.84
96,-0.45,-0.20,0.84
112,-0.45,-0.20,0.83
128,-0.46,-0.19,0.82
144,-0.47,-0.18,0.83
160,-0.46,-0.19,0.82
176,-0.46,-0.18,0.82
192,-0.48,-0.16,0.81
208,-0.48,-0.17,0.82
224,-0.48,-0.16,0.83
240,-0.49,-0.15,0.84
256,-0.49,-0.15,0.84
272,-0.50,-0.16,0.83
288,-0.51,-0.15,0.83
304,-0.50,-0.15,0.81
320,-0.50,-0.14,0.80
336,-0.51,-0.12,0.80
352,-0.50,-0.12,0.80
368,-0.51,-0.12,0.79
384,-0.54,-0.12,0.81
400,-0.51,-0.11,0.81
416,-0.53,-0.11,0.80
432,-0.54,-0.10,0.81
448,-0.56,-0.08,0.81
464,-0.54,-0.08,0.80
480,-0.54,-0.10,0.78
496,-0.56,-0.10,0.77
512,-0.56,-0.10,0.80
528,-0.58,-0.10,0.82
544,-0.57,-0.09,0.83
560,-0.58,-0.07,0.81
576,-0.57,-0.07,0.79
592,-0.58,-0.06,0.78
608,-0.57,-0.06,0.78
624,-0.60,-0.03,0.79
640,-0.59,-0.05,0.80
656,-0.61,-0.04,0.81
672,-0.60,-0.06,0.81
688,-0.60,-0.06,0.77
704,-0.61,-0.02,0.78
720,-0.61,-0.00,0.77
736,-0.61,-0.01,0.76
752,-0.59,-0.02,0.75
768,-0.58,0.00,0.76
784,-0.62,0.00,0.76
800,-0.62,-0.00,0.74
816,-0.63,0.02,0.76
832,-0.61,0.00,0.79
848,-0.65,0.02,0.80
864,-0.65,0.01,0.80
880,-0.64,0.01,0.78
896,-0.64,0.03,0.76
912,-0.66,0.03,0.73
928,-0.65,0.06,0.76
944,-0.60,0.03,0.78
960,-0.64,0.04,0.74
976,-0.65,0.07,0.76
992,-0.64,0.05,0.72
1008,-0.66,0.08,0.75
1024,-0.63,0.09,0.75
1040,-0.64,0.04,0.76
1056,-0.63,0.06,0.78
1072,-0.62,0.05,0.76
1088,-0.65,0.05,0.76
1104,-0.65,0.06,0.77
1120,-0.63,0.08,0.75
1136,-0.65,0.09,0.75
1152,-0.63,0.06,0.76
1168,-0.62,0.05,0.75
1184,-0.63,0.06,0.75
1200,-0.62,0.05,0.75
1216,-0.63,0.05,0.75
1232,-0.63,0.05,0.76
1248,-0.63,0.05,0.75
1264,-0.62,0.05,0.74
1280,-0.62,0.03,0.76
1296,-0.63,0.06,0.76
1312,-0.62,0.03,0.76
1328,-0.60,0.02,0.74
1344,-0.65,0.06,0.75
1360,-0.63,0.06,0.74
1376,-0.63,0.04,0.77
1392,-0.64,0.07,0.75
1408,-0.64,0.06,0.75
1424,-0.63,0.06,0.74
1440,-0.63,0.05,0.75
1456,-0.63,0.06,0.75
1472,-0.64,0.06,0.75
1488,-0.63,0.05,0.74
1504,-0.63,0.07,0.75
1520,-0.64,0.07,0.76
1536,-0.64,0.09,0.76
1552,-0.62,0.04,0.74
1568,-0.64,0.08,0.74
1584,-0.64,0.09,0.74
1600,-0.62,0.07,0.75
1616,-0.64,0.08,0.76
1632,-0.65,0.09,0.77
1648,-0.64,0.08,0.76
1664,-0.64,0.07,0.76
1680,-0.64,0.07,0.75
1696,-0.63,0.07,0.75
1712,-0.63,0.07,0.75
1728,-0.63,0.07,0.75
1744,-0.62,0.06,0.75
1760,-0.63,0.07,0.74
1776,-0.63,0.08,0.75
1792,-0.63,0.08,0.75
1808,-0.63,0.07,0.74
1824,-0.63,0.07,0.74
1840,-0.63,0.06,0.74
1856,-0.63,0.06,0.75
1872,-0.63,0.06,0.75
1888,-0.63,0.07,0.75
1904,-0.63,0.07,0.75
1920,-0.63,0.07,0.74
1936,-0.63,0.08,0.75
1952,-0.64,0.07,0.75
1968,-0.63,0.07,0.75
1984,-0.62,0.07,0.75
