timestamp,accX,accY,accZ
0,-0.55,-0.04,1.23
16,-0.50,-0.05,1.22
32,-0.51,-0.07,1.28
48,-0.59,0.07,1.31
64,-0.68,0.47,1.22
80,-0.62,0.74,0.92
96,-0.43,0.67,0.76
112,-0.22,0.43,0.77
128,-0.02,-0.35,-0.89
144,-0.11,0.41,1.00
160,-0.27,0.29,1.20
176,-0.32,0.29,0.48
192,-0.36,0.05,0.60
208,-0.34,0.11,0.91
224,-0.32,0.25,1.04
240,-0.34,0.26,1.04
256,-0.54,0.76,0.92
272,-0.41,0.33,0.74
288,-0.43,0.19,0.76
304,-0.42,0.20,1.04
320,-0.39,0.11,1.15
336,0.04,0.11,1.08
352,-0.04,1.24,1.28
368,-0.15,1.00,2.18
384,-0.13,0.51,2.34
400,0.09,0.57,0.23
416,0.18,0.31,-0.70
432,0.14,-0.55,-1.00
448,-0.33,-0.84,-1.02
464,-0.55,-0.83,-0.55
480,-0.62,-0.64,0.54
496,-0.73,-0.22,1.37
512,-0.65,0.43,1.73
528,-0.56,1.07,2.22
544,-0.47,1.68,2.84
560,-0.20,1.74,2.58
576,-0.18,0.79,1.29
592,-0.04,-0.94,0.09
608,-0.45,-1.99,-0.80
624,-0.55,-2.31,-0.99
640,-0.46,-1.07,-0.35
656,-0.46,-0.14,0.81
672,-0.34,0.86,1.30
688,-0.13,1.68,1.55
704,-0.06,1.97,2.15
720,-0.12,1.58,2.45
736,-0.21,1.42,2.23
752,-0.23,1.29,2.19
768,-0.16,0.47,1.67
784,-0.10,-0.78,-0.01
800,-0.33,-2.46,-0.93
816,-0.34,-2.04,-1.09
832,-0.36,-0.48,-0.78
848,-0.47,0.31,1.48
864,-0.26,0.80,1.78
880,-0.17,1.19,1.40
896,-0.16,1.43,1.80
912,-0.15,1.36,2.36
928,-0.11,1.29,2.18
944,-0.13,0.99,1.72
960,-0.09,0.39,1.10
976,0.05,-0.96,-0.20
992,-0.30,-1.96,-0.95
1008,-0.37,-1.81,-1.21
1024,-0.43,-0.85,-0.72
1040,-0.47,-0.03,1.07
1056,-0.21,0.57,1.46
1072,-0.17,1.03,1.34
1088,-0.14,1.32,1.85
1104,-0.11,1.26,2.40
1120,-0.14,1.11,2.50
1136,-0.09,1.15,2.24
1152,-0.15,0.83,1.94
1168,0.10,-0.17,1.05
1184,-0.13,-1.60,-0.70
1200,-0.51,-2.49,-1.43
1216,-0.46,-1.36,-0.70
1232,-0.41,0.06,0.46
1248,-0.19,0.63,1.53
1264,0.03,0.87,0.97
1280,0.07,1.10,1.00
1296,0.08,1.33,1.88
1312,0.07,1.43,2.42
1328,0.10,1.50,2.42
1344,0.05,1.30,2.23
1360,0.04,0.53,1.71
1376,0.05,-0.96,0.28
1392,-0.34,-2.16,-0.80
1408,-0.43,-2.18,-1.22
1424,-0.41,-0.49,-0.60
1440,-0.23,0.13,0.94
1456,0.03,0.75,1.17
1472,0.00,0.74,0.83
1488,-0.03,1.20,1.59
1504,0.10,1.56,2.50
1520,0.19,1.64,2.63
1536,0.21,1.59,2.43
1552,0.15,1.21,2.18
1568,0.16,0.13,1.53
1584,-0.05,-1.10,0.15
1600,-0.37,-2.37,-0.72
1616,-0.43,-1.63,-0.98
1632,-0.36,-0.30,-0.28
1648,-0.31,0.40,1.08
1664,0.03,0.64,0.59
1680,0.05,0.62,0.34
1696,-0.04,1.04,1.41
1712,-0.02,1.43,2.50
1728,-0.00,1.53,2.62
1744,-0.01,1.27,2.27
1760,-0.14,0.73,2.12
1776,-0.01,0.12,1.70
1792,-0.08,-1.03,0.26
1808,-0.33,-2.13,-0.59
1824,-0.38,-1.75,-0.93
1840,-0.18,-0.42,-0.61
1856,-0.16,0.67,0.88
1872,0.09,0.83,0.70
1888,0.07,0.61,0.53
1904,0.04,1.20,1.43
1920,0.02,1.53,2.37
1936,0.04,1.64,2.51
1952,0.05,1.38,2.19
1968,-0.12,0.76,2.04
1984,-0.02,-0.03,1.54
