timestamp,accX,accY,accZ
0,0.39,0.06,0.94
16,0.38,0.07,0.94
32,0.38,0.06,0.93
48,0.37,0.06,0.93
64,0.37,0.05,0.93
80,0.37,0.06,0.93
96,0.37,0.06,0.94
112,0.37,0.07,0.94
128,0.36,0.08,0.94
144,0.35,0.08,0.94
160,0.35,0.08,0.94
176,0.35,0.08,0.93
192,0.36,0.07,0.93
208,0.36,0.05,0.93
224,0.37,0.03,0.94
240,0.37,0.03,0.93
256,0.37,0.04,0.94
272,0.36,0.05,0.94
288,0.36,0.06,0.94
304,0.35,0.06,0.94
320,0.35,0.06,0.94
336,0.34,0.07,0.93
352,0.34,0.07,0.94
368,0.34,0.06,0.94
384,0.35,0.06,0.94
400,0.35,0.05,0.93
416,0.36,0.04,0.93
432,0.37,0.03,0.93
448,0.38,0.01,0.93
464,0.39,-0.00,0.93
480,0.39,0.00,0.95
496,0.38,0.03,0.96
512,0.37,0.05,0.95
528,0.37,0.06,0.95
544,0.36,0.06,0.94
560,0.37,0.05,0.94
576,0.37,0.03,0.95
592,0.38,0.02,0.94
608,0.38,0.02,0.95
624,0.38,0.03,0.95
640,0.37,0.04,0.95
656,0.37,0.04,0.95
672,0.37,0.04,0.96
688,0.37,0.03,0.95
704,0.37,0.03,0.95
720,0.36,0.04,0.95
736,0.36,0.05,0.95
752,0.36,0.04,0.96
768,0.37,0.03,0.96
784,0.37,0.03,0.96
800,0.37,0.01,0.96
816,0.37,0.01,0.96
832,0.36,0.02,0.95
848,0.35,0.01,0.95
864,0.35,0.01,0.96
880,0.36,-0.02,0.97
896,0.37,-0.03,0.97
912,0.38,-0.05,0.97
928,0.38,-0.05,0.97
944,0.38,-0.06,0.97
960,0.37,-0.07,0.97
976,0.36,-0.08,0.97
992,0.36,-0.08,0.97
1008,0.35,-0.08,0.97
1024,0.34,-0.08,0.97
1040,0.33,-0.07,0.96
1056,0.32,-0.09,0.97
1072,0.30,-0.08,0.96
1088,0.29,-0.08,0.96
1104,0.28,-0.07,0.96
1120,0.27,-0.08,0.96
1136,0.27,-0.10,0.96
1152,0.27,-0.10,0.97
1168,0.26,-0.11,0.96
1184,0.25,-0.10,0.96
1200,0.24,-0.09,0.96
1216,0.23,-0.09,0.96
1232,0.22,-0.08,0.96
1248,0.22,-0.08,0.97
1264,0.22,-0.10,0.98
1280,0.22,-0.10,0.97
1296,0.21,-0.11,0.97
1312,0.21,-0.11,0.96
1328,0.20,-0.11,0.96
1344,0.20,-0.11,0.97
1360,0.20,-0.11,0.97
1376,0.19,-0.11,0.97
1392,0.19,-0.11,0.97
1408,0.19,-0.12,0.97
1424,0.19,-0.13,0.97
1440,0.20,-0.15,0.97
1456,0.20,-0.16,0.97
1472,0.20,-0.15,0.97
1488,0.19,-0.14,0.97
1504,0.18,-0.13,0.97
1520,0.18,-0.12,0.96
1536,0.17,-0.12,0.97
1552,0.16,-0.13,0.98
1568,0.16,-0.13,0.98
1584,0.16,-0.13,0.98
1600,0.15,-0.13,0.98
1616,0.15,-0.12,0.97
1632,0.14,-0.12,0.97
1648,0.14,-0.11,0.98
1664,0.14,-0.12,0.99
1680,0.14,-0.14,0.99
1696,0.14,-0.14,0.99
1712,0.15,-0.16,0.99
1728,0.16,-0.16,0.99
1744,0.15,-0.15,0.99
1760,0.14,-0.13,0.98
1776,0.13,-0.12,0.98
1792,0.13,-0.12,0.99
1808,0.13,-0.14,0.99
1824,0.13,-0.14,1.00
1840,0.14,-0.15,0.99
1856,0.13,-0.14,0.99
1872,0.13,-0.14,0.99
1888,0.12,-0.14,0.99
1904,0.12,-0.13,0.99
1920,0.11,-0.12,0.98
1936,0.10,-0.12,0.98
1952,0.10,-0.13,0.99
1968,0.10,-0.16,1.00
1984,0.11,-0.17,1.00
