timestamp,accX,accY,accZ
0,-0.63,0.10,0.75
16,-0.64,0.10,0.75
32,-0.64,0.10,0.76
48,-0.64,0.10,0.76
64,-0.64,0.09,0.75
80,-0.63,0.09,0.75
96,-0.63,0.08,0.75
112,-0.62,0.08,0.75
128,-0.62,0.08,0.74
144,-0.62,0.09,0.74
160,-0.62,0.09,0.75
176,-0.62,0.09,0.75
192,-0.63,0.09,0.75
208,-0.62,0.09,0.75
224,-0.63,0.09,0.75
240,-0.63,0.09,0.75
256,-0.62,0.09,0.76
272,-0.62,0.09,0.76
288,-0.62,0.09,0.75
304,-0.62,0.09,0.75
320,-0.62,0.09,0.75
336,-0.63,0.09,0.75
352,-0.63,0.09,0.75
368,-0.63,0.09,0.75
384,-0.63,0.09,0.75
400,-0.63,0.09,0.75
416,-0.62,0.09,0.75
432,-0.62,0.09,0.75
448,-0.63,0.10,0.75
464,-0.63,0.09,0.75
480,-0.62,0.09,0.75
496,-0.63,0.09,0.75
512,-0.63,0.09,0.75
528,-0.63,0.09,0.75
544,-0.63,0.09,0.75
560,-0.62,0.09,0.75
576,-0.62,0.09,0.75
592,-0.63,0.09,0.75
608,-0.63,0.09,0.75
624,-0.63,0.09,0.75
640,-0.63,0.08,0.75
656,-0.62,0.08,0.75
672,-0.62,0.08,0.75
688,-0.61,0.09,0.75
704,-0.62,0.10,0.74
720,-0.63,0.09,0.75
736,-0.63,0.09,0.75
752,-0.64,0.09,0.76
768,-0.64,0.09,0.76
784,-0.63,0.09,0.76
800,-0.62,0.09,0.75
816,-0.62,0.09,0.75
832,-0.62,0.09,0.76
848,-0.62,0.10,0.76
864,-0.62,0.09,0.75
880,-0.62,0.09,0.76
896,-0.62,0.09,0.75
912,-0.62,0.09,0.75
928,-0.61,0.08,0.76
944,-0.62,0.09,0.76
960,-0.62,0.09,0.76
976,-0.62,0.09,0.76
992,-0.62,0.08,0.75
1008,-0.62,0.09,0.76
1024,-0.62,0.09,0.75
1040,-0.62,0.10,0.75
1056,-0.62,0.10,0.75
1072,-0.62,0.09,0.75
1088,-0.62,0.08,0.75
1104,-0.63,0.09,0.76
1120,-0.63,0.09,0.76
1136,-0.63,0.09,0.75
1152,-0.63,0.10,0.75
1168,-0.62,0.09,0.75
1184,-0.63,0.10,0.75
1200,-0.62,0.10,0.75
1216,-0.63,0.10,0.75
1232,-0.63,0.10,0.76
1248,-0.63,0.09,0.76
1264,-0.62,0.08,0.75
1280,-0.62,0.08,0.75
1296,-0.62,0.09,0.75
1312,-0.62,0.09,0.75
1328,-0.62,0.09,0.75
1344,-0.62,0.09,0.76
1360,-0.62,0.09,0.76
1376,-0.62,0.09,0.76
1392,-0.62,0.09,0.75
1408,-0.62,0.09,0.76
1424,-0.62,0.10,0.76
1440,-0.62,0.10,0.76
1456,-0.62,0.09,0.75
1472,-0.62,0.09,0.76
1488,-0.62,0.09,0.76
1504,-0.62,0.09,0.76
1520,-0.62,0.09,0.76
1536,-0.62,0.09,0.76
1552,-0.62,0.09,0.75
1568,-0.62,0.09,0.76
1584,-0.62,0.09,0.75
1600,-0.62,0.09,0.75
1616,-0.62,0.09,0.75
1632,-0.62,0.09,0.76
1648,-0.61,0.09,0.76
1664,-0.62,0.09,0.76
1680,-0.62,0.09,0.76
1696,-0.62,0.09,0.76
1712,-0.62,0.09,0.76
1728,-0.62,0.09,0.76
1744,-0.62,0.09,0.75
1760,-0.62,0.09,0.75
1776,-0.62,0.09,0.75
1792,-0.62,0.09,0.76
1808,-0.60,0.10,0.74
1824,-0.63,0.11,0.74
1840,-0.64,0.09,0.76
1856,-0.63,0.09,0.77
1872,-0.63,0.09,0.77
1888,-0.63,0.10,0.77
1904,-0.62,0.10,0.76
1920,-0.62,0.09,0.75
1936,-0.62,0.09,0.75
1952,-0.62,0.09,0.75
1968,-0.62,0.09,0.75
1984,-0.62,0.09,0.76
