timestamp,accX,accY,accZ
0,0.37,-0.43,0.84
16,0.36,-0.44,0.84
32,0.36,-0.44,0.84
48,0.36,-0.45,0.84
64,0.37,-0.45,0.84
80,0.36,-0.45,0.83
96,0.36,-0.44,0.82
112,0.36,-0.45,0.82
128,0.36,-0.46,0.81
144,0.36,-0.45,0.81
160,0.36,-0.45,0.81
176,0.36,-0.46,0.81
192,0.37,-0.46,0.81
208,0.36,-0.47,0.81
224,0.37,-0.47,0.81
240,0.37,-0.48,0.80
256,0.37,-0.50,0.80
272,0.37,-0.49,0.79
288,0.37,-0.48,0.79
304,0.36,-0.47,0.79
320,0.36,-0.47,0.79
336,0.36,-0.47,0.80
352,0.36,-0.48,0.79
368,0.36,-0.48,0.79
384,0.37,-0.48,0.79
400,0.37,-0.49,0.78
416,0.37,-0.48,0.78
432,0.37,-0.48,0.79
448,0.36,-0.47,0.79
464,0.36,-0.48,0.80
480,0.37,-0.49,0.80
496,0.36,-0.51,0.80
512,0.37,-0.52,0.79
528,0.37,-0.53,0.79
544,0.37,-0.52,0.78
560,0.37,-0.52,0.78
576,0.37,-0.51,0.77
592,0.37,-0.51,0.77
608,0.37,-0.52,0.78
624,0.37,-0.53,0.78
640,0.37,-0.54,0.77
656,0.37,-0.56,0.76
672,0.38,-0.55,0.76
688,0.38,-0.56,0.76
704,0.37,-0.57,0.75
720,0.37,-0.56,0.75
736,0.37,-0.55,0.74
752,0.38,-0.55,0.73
768,0.38,-0.56,0.72
784,0.38,-0.57,0.72
800,0.39,-0.58,0.72
816,0.38,-0.59,0.72
832,0.41,-0.61,0.71
848,0.37,-0.58,0.70
864,0.38,-0.58,0.70
880,0.38,-0.59,0.70
896,0.38,-0.61,0.70
912,0.39,-0.62,0.70
928,0.39,-0.62,0.69
944,0.40,-0.61,0.68
960,0.39,-0.61,0.68
976,0.39,-0.60,0.67
992,0.39,-0.61,0.67
1008,0.39,-0.62,0.67
1024,0.39,-0.64,0.68
1040,0.39,-0.65,0.68
1056,0.39,-0.65,0.68
1072,0.39,-0.65,0.68
1088,0.39,-0.66,0.67
1104,0.39,-0.65,0.65
1120,0.38,-0.64,0.64
1136,0.38,-0.65,0.64
1152,0.39,-0.66,0.64
1168,0.39,-0.67,0.64
1184,0.39,-0.69,0.64
1200,0.39,-0.70,0.64
1216,0.40,-0.70,0.64
1232,0.40,-0.69,0.63
1248,0.39,-0.67,0.62
1264,0.39,-0.67,0.62
1280,0.38,-0.67,0.62
1296,0.39,-0.68,0.61
1312,0.39,-0.70,0.62
1328,0.40,-0.71,0.61
1344,0.40,-0.72,0.61
1360,0.40,-0.73,0.61
1376,0.40,-0.73,0.61
1392,0.40,-0.72,0.60
1408,0.39,-0.70,0.59
1424,0.39,-0.67,0.58
1440,0.38,-0.68,0.58
1456,0.38,-0.67,0.58
1472,0.38,-0.68,0.59
1488,0.39,-0.69,0.59
1504,0.39,-0.71,0.59
1520,0.40,-0.74,0.59
1536,0.41,-0.75,0.60
1552,0.41,-0.76,0.59
1568,0.40,-0.74,0.58
1584,0.39,-0.71,0.58
1600,0.38,-0.70,0.58
1616,0.38,-0.70,0.57
1632,0.39,-0.69,0.57
1648,0.40,-0.71,0.57
1664,0.40,-0.72,0.57
1680,0.40,-0.74,0.58
1696,0.40,-0.75,0.58
1712,0.40,-0.74,0.57
1728,0.40,-0.73,0.56
1744,0.39,-0.71,0.56
1760,0.39,-0.71,0.56
1776,0.39,-0.72,0.57
1792,0.40,-0.73,0.57
1808,0.40,-0.73,0.56
1824,0.40,-0.73,0.56
1840,0.40,-0.73,0.56
1856,0.40,-0.73,0.57
1872,0.39,-0.72,0.57
1888,0.39,-0.71,0.57
1904,0.39,-0.70,0.57
1920,0.39,-0.71,0.57
1936,0.39,-0.71,0.57
1952,0.39,-0.71,0.57
1968,0.39,-0.71,0.57
1984,0.39,-0.72,0.57
