timestamp,accX,accY,accZ
0,0.38,0.02,0.94
16,0.37,0.02,0.94
32,0.36,0.04,0.95
48,0.36,0.05,0.95
64,0.35,0.06,0.95
80,0.36,0.06,0.95
96,0.36,0.06,0.95
112,0.37,0.05,0.94
128,0.37,0.05,0.93
144,0.38,0.05,0.93
160,0.38,0.05,0.92
176,0.39,0.05,0.93
192,0.38,0.06,0.91
208,0.38,0.07,0.92
224,0.37,0.08,0.92
240,0.37,0.08,0.92
256,0.37,0.08,0.93
272,0.36,0.08,0.94
288,0.37,0.07,0.94
304,0.38,0.07,0.93
320,0.38,0.06,0.93
336,0.38,0.06,0.92
352,0.38,0.07,0.92
368,0.38,0.08,0.93
384,0.38,0.09,0.94
400,0.37,0.09,0.94
416,0.37,0.09,0.94
432,0.37,0.08,0.92
448,0.36,0.08,0.93
464,0.37,0.08,0.94
480,0.38,0.08,0.94
496,0.39,0.08,0.93
512,0.39,0.08,0.92
528,0.40,0.08,0.92
544,0.40,0.08,0.91
560,0.40,0.08,0.92
576,0.40,0.07,0.93
592,0.39,0.08,0.94
608,0.40,0.08,0.94
624,0.40,0.09,0.92
640,0.39,0.10,0.92
656,0.40,0.10,0.91
672,0.39,0.10,0.92
688,0.38,0.10,0.93
704,0.38,0.11,0.93
720,0.39,0.11,0.93
736,0.39,0.11,0.92
752,0.39,0.12,0.91
768,0.39,0.13,0.91
784,0.39,0.13,0.91
800,0.39,0.13,0.92
816,0.39,0.12,0.92
832,0.39,0.12,0.93
848,0.39,0.12,0.93
864,0.39,0.13,0.94
880,0.39,0.14,0.93
896,0.38,0.14,0.92
912,0.39,0.13,0.92
928,0.41,0.12,0.92
944,0.41,0.12,0.93
960,0.40,0.13,0.93
976,0.40,0.12,0.94
992,0.41,0.14,0.92
1008,0.38,0.17,0.92
1024,0.37,0.23,0.91
1040,0.35,0.27,0.92
1056,0.34,0.29,0.93
1072,0.33,0.30,0.94
1088,0.33,0.30,0.95
1104,0.33,0.30,0.95
1120,0.34,0.27,0.95
1136,0.36,0.25,0.95
1152,0.36,0.25,0.93
1168,0.36,0.27,0.92
1184,0.34,0.29,0.91
1200,0.34,0.31,0.91
1216,0.33,0.34,0.90
1232,0.32,0.34,0.90
1248,0.32,0.36,0.90
1264,0.32,0.34,0.89
1280,0.33,0.34,0.89
1296,0.33,0.33,0.88
1312,0.34,0.34,0.87
1328,0.33,0.33,0.87
1344,0.34,0.32,0.87
1360,0.33,0.35,0.86
1376,0.32,0.37,0.86
1392,0.31,0.40,0.85
1408,0.30,0.41,0.86
1424,0.30,0.41,0.85
1440,0.30,0.41,0.85
1456,0.31,0.39,0.85
1472,0.32,0.38,0.86
1488,0.32,0.36,0.86
1504,0.32,0.37,0.85
1520,0.31,0.40,0.84
1536,0.30,0.42,0.83
1552,0.29,0.45,0.83
1568,0.29,0.47,0.83
1584,0.29,0.46,0.84
1600,0.29,0.46,0.85
1616,0.29,0.45,0.87
1632,0.28,0.44,0.87
1648,0.28,0.45,0.87
1664,0.28,0.45,0.86
1680,0.29,0.44,0.85
1696,0.29,0.45,0.85
1712,0.28,0.46,0.84
1728,0.28,0.47,0.85
1744,0.27,0.49,0.85
1760,0.26,0.51,0.86
1776,0.25,0.51,0.86
1792,0.25,0.49,0.86
1808,0.26,0.49,0.85
1824,0.27,0.48,0.84
1840,0.27,0.49,0.83
1856,0.27,0.49,0.83
1872,0.27,0.51,0.82
1888,0.26,0.52,0.83
1904,0.25,0.54,0.83
1920,0.25,0.53,0.82
1936,0.24,0.53,0.81
1952,0.24,0.54,0.81
1968,0.25,0.53,0.80
1984,0.25,0.52,0.80
