timestamp,accX,accY,accZ
0,-0.84,0.64,1.59
16,-0.95,0.84,1.60
32,-0.99,1.15,1.60
48,-1.04,1.48,1.39
64,-0.94,1.35,1.22
80,-0.82,0.86,1.25
96,-0.75,0.51,1.16
112,-0.37,-0.14,0.79
128,0.18,-0.70,0.33
144,0.48,-1.22,0.06
160,0.57,-1.22,0.03
176,0.30,-1.11,0.26
192,0.04,-0.73,0.54
208,-0.43,-0.26,1.11
224,-0.70,0.29,1.40
240,-0.86,0.85,1.52
256,-0.98,1.24,1.43
272,-1.11,1.38,1.31
288,-1.02,1.03,1.15
304,-0.96,1.04,1.29
320,-0.77,0.57,0.69
336,-0.55,0.18,0.93
352,0.04,-0.44,0.55
368,0.71,-0.92,0.06
384,1.00,-1.27,-0.23
400,0.62,-0.73,0.10
416,0.08,-0.62,0.39
432,-0.36,-0.61,1.23
448,-0.82,0.17,1.77
464,-1.08,0.85,2.12
480,-1.14,1.31,1.90
496,-1.13,1.46,1.27
512,-0.95,0.83,1.07
528,-0.92,0.98,1.54
544,-0.82,0.66,0.91
560,-0.60,0.23,0.95
576,0.03,-0.54,0.58
592,0.68,-0.83,0.18
608,0.92,-0.95,0.01
624,0.60,-0.77,-0.18
640,0.02,-0.14,0.68
656,-0.16,-0.22,0.47
672,-0.42,0.25,1.35
688,-0.88,0.59,1.93
704,-1.10,0.93,1.97
720,-1.13,1.05,1.53
736,-0.87,0.84,1.29
752,-0.65,0.69,0.77
768,-0.60,0.65,0.72
784,-0.52,0.43,0.88
800,-0.15,-0.07,1.06
816,0.26,-0.37,0.36
832,0.63,-0.57,0.08
848,0.58,-0.61,0.03
864,0.14,-0.25,0.59
880,-0.01,-0.05,0.42
896,-0.41,0.07,1.10
912,-0.82,0.39,1.67
928,-0.97,0.82,2.03
944,-1.03,0.93,1.48
960,-0.84,0.69,1.25
976,-0.64,0.65,0.80
992,-0.60,0.65,0.80
1008,-0.55,0.50,0.94
1024,-0.35,0.22,0.87
1040,0.26,-0.25,0.45
1056,0.66,-0.53,0.02
1072,0.62,-0.59,-0.01
1088,0.08,-0.27,0.66
1104,-0.11,-0.03,0.65
1120,-0.22,0.10,0.92
1136,-0.59,0.42,1.19
1152,-0.93,0.80,1.90
1168,-1.00,1.06,1.85
1184,-0.99,1.03,1.36
1200,-0.78,0.77,1.32
1216,-0.66,0.64,0.67
1232,-0.65,0.60,0.79
1248,-0.53,0.42,0.98
1264,-0.11,-0.02,0.94
1280,0.36,-0.41,0.28
1296,0.67,-0.65,0.05
1312,0.66,-0.67,-0.05
1328,0.34,-0.32,0.56
1344,0.20,-0.08,-0.22
1360,-0.09,-0.03,0.31
1376,-0.80,0.43,1.40
1392,-1.14,0.97,2.71
1408,-1.25,1.25,2.33
1424,-1.28,1.18,1.47
1440,-1.01,1.01,1.26
1456,-0.86,0.89,0.89
1472,-0.77,0.86,0.89
1488,-0.49,0.36,0.74
1504,0.13,-0.28,0.43
1520,0.61,-0.60,0.19
1536,0.85,-0.88,0.09
1552,0.63,-0.83,-0.03
1568,0.22,-0.53,0.24
1584,0.11,-0.16,0.78
1600,-0.12,0.09,0.47
1616,-0.66,0.47,1.42
1632,-1.06,0.89,2.41
1648,-1.17,1.11,2.07
1664,-1.14,1.09,1.44
1680,-0.97,0.92,1.54
1696,-0.80,0.69,0.74
1712,-0.70,0.72,0.91
1728,-0.60,0.42,0.95
1744,-0.23,-0.03,0.84
1760,0.33,-0.37,0.36
1776,0.75,-0.61,0.08
1792,0.85,-0.80,-0.28
1808,0.43,-0.49,0.20
1824,-0.09,-0.24,0.33
1840,-0.71,0.23,2.12
1856,-0.93,0.36,2.00
1872,-0.93,1.06,1.83
1888,-0.98,1.08,1.31
1904,-0.88,0.90,1.44
1920,-0.78,0.83,1.04
1936,-0.73,0.70,1.01
1952,-0.65,0.57,1.07
1968,-0.21,0.19,0.82
1984,0.29,-0.17,0.40
