timestamp,accX,accY,accZ
0,-0.32,-0.25,0.92
16,-0.32,-0.24,0.92
32,-0.32,-0.24,0.92
48,-0.32,-0.23,0.91
64,-0.31,-0.23,0.91
80,-0.31,-0.24,0.91
96,-0.30,-0.28,0.93
112,-0.31,-0.27,0.95
128,-0.34,-0.25,0.97
144,-0.35,-0.25,0.97
160,-0.33,-0.25,0.95
176,-0.32,-0.24,0.94
192,-0.32,-0.23,0.93
208,-0.30,-0.23,0.93
224,-0.29,-0.21,0.94
240,-0.31,-0.24,0.97
256,-0.31,-0.24,0.96
272,-0.31,-0.24,0.95
288,-0.31,-0.24,0.93
304,-0.30,-0.25,0.94
320,-0.29,-0.26,0.94
336,-0.29,-0.25,0.94
352,-0.30,-0.24,0.93
368,-0.29,-0.23,0.93
384,-0.29,-0.21,0.93
400,-0.29,-0.22,0.94
416,-0.29,-0.21,0.95
432,-0.29,-0.20,0.96
448,-0.28,-0.21,0.97
464,-0.28,-0.20,0.96
480,-0.28,-0.19,0.96
496,-0.27,-0.18,0.95
512,-0.26,-0.19,0.95
528,-0.26,-0.20,0.97
544,-0.25,-0.21,0.99
560,-0.23,-0.20,1.00
576,-0.25,-0.17,1.00
592,-0.26,-0.16,0.99
608,-0.25,-0.17,0.97
624,-0.20,-0.16,0.97
640,-0.24,-0.12,0.98
656,-0.22,-0.12,0.98
672,-0.19,-0.12,0.98
688,-0.19,-0.14,0.98
704,-0.18,-0.14,0.97
720,-0.17,-0.13,0.97
736,-0.15,-0.12,0.99
752,-0.15,-0.10,1.01
768,-0.15,-0.10,1.02
784,-0.15,-0.07,1.03
800,-0.13,-0.05,1.02
816,-0.12,-0.04,1.01
832,-0.11,-0.04,0.99
848,-0.08,-0.04,0.98
864,-0.07,-0.04,0.97
880,-0.07,-0.07,0.98
896,-0.05,-0.08,0.99
912,-0.06,-0.08,0.99
928,-0.04,-0.07,1.01
944,-0.04,-0.07,1.01
960,-0.03,-0.03,1.00
976,-0.03,-0.04,0.98
992,-0.01,-0.02,0.97
1008,0.01,-0.00,0.95
1024,0.03,-0.03,0.95
1040,0.04,-0.03,0.95
1056,0.06,-0.05,0.95
1072,0.06,-0.05,0.95
1088,0.07,-0.06,0.94
1104,0.09,-0.06,0.94
1120,0.09,-0.06,0.93
1136,0.10,-0.06,0.93
1152,0.11,-0.07,0.95
1168,0.07,-0.08,0.95
1184,0.25,-0.11,0.96
1200,0.08,-0.12,0.96
1216,0.16,-0.14,0.95
1232,0.16,-0.13,0.96
1248,0.16,-0.13,0.97
1264,0.18,-0.12,0.98
1280,0.18,-0.11,0.97
1296,0.17,-0.09,0.98
1312,0.18,-0.08,0.98
1328,0.18,-0.07,0.98
1344,0.19,-0.08,0.99
1360,0.20,-0.11,1.01
1376,0.20,-0.11,1.00
1392,0.21,-0.13,0.99
1408,0.21,-0.13,0.97
1424,0.26,-0.12,0.94
1440,0.22,-0.15,0.93
1456,0.25,-0.17,0.96
1472,0.27,-0.22,0.97
1488,0.26,-0.16,0.95
1504,0.29,-0.13,0.94
1520,0.30,-0.09,0.91
1536,0.31,-0.08,0.88
1552,0.33,-0.10,0.86
1568,0.35,-0.13,0.87
1584,0.35,-0.13,0.89
1600,0.34,-0.15,0.91
1616,0.34,-0.15,0.91
1632,0.34,-0.13,0.91
1648,0.35,-0.12,0.89
1664,0.36,-0.12,0.88
1680,0.37,-0.12,0.87
1696,0.38,-0.12,0.87
1712,0.39,-0.12,0.87
1728,0.38,-0.13,0.87
1744,0.39,-0.13,0.87
1760,0.39,-0.13,0.85
1776,0.39,-0.13,0.84
1792,0.41,-0.15,0.87
1808,0.40,-0.18,0.89
1824,0.39,-0.16,0.90
1840,0.39,-0.17,0.90
1856,0.39,-0.16,0.89
1872,0.39,-0.15,0.87
1888,0.40,-0.13,0.85
1904,0.41,-0.15,0.85
1920,0.42,-0.15,0.85
1936,0.42,-0.17,0.86
1952,0.37,-0.19,0.86
1968,0.44,-0.21,0.89
1984,0.40,-0.24,0.91
