timestamp,accX,accY,accZ
0,0.58,0.26,0.81
16,0.55,0.27,0.81
32,0.55,0.27,0.81
48,0.56,0.28,0.80
64,0.55,0.29,0.80
80,0.55,0.29,0.80
96,0.55,0.30,0.80
112,0.55,0.30,0.81
128,0.54,0.30,0.82
144,0.53,0.28,0.83
160,0.53,0.28,0.83
176,0.52,0.29,0.82
192,0.53,0.30,0.82
208,0.52,0.32,0.82
224,0.53,0.32,0.82
240,0.52,0.33,0.82
256,0.52,0.33,0.82
272,0.51,0.33,0.83
288,0.51,0.33,0.82
304,0.51,0.33,0.82
320,0.51,0.34,0.83
336,0.52,0.34,0.81
352,0.53,0.35,0.81
368,0.54,0.34,0.80
384,0.53,0.33,0.80
400,0.54,0.32,0.81
416,0.54,0.31,0.81
432,0.54,0.30,0.81
448,0.54,0.29,0.81
464,0.54,0.29,0.80
480,0.54,0.29,0.81
496,0.54,0.27,0.81
512,0.54,0.26,0.81
528,0.55,0.26,0.80
544,0.55,0.26,0.80
560,0.55,0.26,0.79
576,0.55,0.27,0.80
592,0.54,0.26,0.80
608,0.54,0.26,0.80
624,0.55,0.25,0.80
640,0.54,0.25,0.80
656,0.54,0.25,0.80
672,0.54,0.25,0.79
688,0.55,0.25,0.78
704,0.56,0.25,0.78
720,0.57,0.26,0.77
736,0.57,0.26,0.78
752,0.53,0.26,0.79
768,0.52,0.25,0.81
784,0.54,0.24,0.82
800,0.57,0.22,0.82
816,0.59,0.22,0.83
832,0.58,0.22,0.84
848,0.57,0.23,0.85
864,0.56,0.23,0.86
880,0.55,0.23,0.87
896,0.56,0.22,0.88
912,0.56,0.21,0.88
928,0.56,0.21,0.88
944,0.56,0.21,0.87
960,0.56,0.22,0.85
976,0.56,0.24,0.83
992,0.56,0.25,0.81
1008,0.57,0.26,0.81
1024,0.56,0.25,0.82
1040,0.55,0.24,0.82
1056,0.55,0.23,0.82
1072,0.55,0.23,0.83
1088,0.55,0.22,0.82
1104,0.56,0.23,0.81
1120,0.56,0.23,0.81
1136,0.56,0.23,0.81
1152,0.55,0.23,0.81
1168,0.55,0.22,0.81
1184,0.56,0.21,0.82
1200,0.57,0.19,0.81
1216,0.56,0.21,0.80
1232,0.54,0.21,0.83
1248,0.59,0.22,0.81
1264,0.52,0.23,0.83
1280,0.66,0.19,0.81
1296,0.50,0.23,0.81
1312,0.66,0.19,0.80
1328,0.53,0.22,0.81
1344,0.58,0.22,0.83
1360,0.54,0.23,0.82
1376,0.54,0.22,0.83
1392,0.57,0.21,0.82
1408,0.56,0.21,0.81
1424,0.56,0.21,0.81
1440,0.57,0.19,0.82
1456,0.58,0.18,0.81
1472,0.57,0.20,0.81
1488,0.56,0.20,0.81
1504,0.56,0.21,0.81
1520,0.56,0.20,0.80
1536,0.57,0.20,0.81
1552,0.57,0.19,0.82
1568,0.57,0.19,0.82
1584,0.56,0.20,0.83
1600,0.56,0.21,0.83
1616,0.56,0.22,0.82
1632,0.56,0.22,0.82
1648,0.56,0.23,0.82
1664,0.57,0.22,0.82
1680,0.57,0.22,0.83
1696,0.56,0.21,0.84
1712,0.57,0.21,0.84
1728,0.56,0.21,0.84
1744,0.56,0.22,0.84
1760,0.56,0.22,0.83
1776,0.56,0.23,0.83
1792,0.57,0.22,0.84
1808,0.57,0.21,0.84
1824,0.57,0.22,0.84
1840,0.56,0.22,0.84
1856,0.56,0.23,0.83
1872,0.56,0.23,0.83
1888,0.56,0.21,0.83
1904,0.56,0.21,0.82
1920,0.57,0.20,0.82
1936,0.57,0.19,0.82
1952,0.56,0.19,0.82
1968,0.56,0.19,0.82
1984,0.56,0.19,0.82
