timestamp,accX,accY,accZ
0,-1.31,1.68,1.49
16,-1.08,1.39,0.90
32,-0.89,1.05,0.68
48,-0.81,0.62,0.72
64,-0.64,0.43,1.29
80,0.07,-0.37,0.37
96,0.58,-0.87,0.08
112,0.66,-0.90,0.16
128,0.38,-0.76,0.34
144,0.14,-0.45,0.45
160,-0.17,-0.18,0.67
176,-0.62,0.42,1.07
192,-0.94,1.21,2.03
208,-1.13,1.74,2.17
224,-1.20,1.59,1.36
240,-0.98,1.36,0.91
256,-0.87,1.23,0.72
272,-0.77,0.78,0.95
288,-0.40,0.24,0.30
304,0.18,-0.42,0.31
320,0.59,-0.96,-0.06
336,0.67,-0.96,-0.04
352,0.27,-0.88,0.43
368,-0.00,-0.45,0.43
384,-0.12,-0.21,0.66
400,-0.57,0.37,1.11
416,-0.98,1.07,2.42
432,-1.16,1.52,2.50
448,-1.15,1.48,1.44
464,-0.88,1.04,0.87
480,-0.72,0.74,0.75
496,-0.64,0.28,0.76
512,-0.24,-0.01,0.43
528,0.31,-0.71,0.24
544,0.64,-1.23,-0.08
560,0.53,-0.87,0.03
576,0.16,-0.60,0.12
592,-0.05,-0.29,0.73
608,-0.19,-0.05,0.41
624,-0.63,0.46,0.99
640,-0.99,1.08,2.51
656,-1.20,1.48,2.94
672,-1.25,1.44,1.91
688,-1.02,1.17,1.24
704,-0.88,0.88,0.83
720,-0.75,0.59,0.79
736,-0.34,-0.13,0.51
752,0.28,-0.77,0.15
768,0.58,-1.00,-0.25
784,0.71,-1.21,-0.29
800,0.36,-0.82,0.13
816,0.09,-0.72,0.75
832,-0.09,-0.31,0.39
848,-0.56,0.30,0.95
864,-0.96,0.91,2.81
880,-1.24,1.39,3.19
896,-1.33,1.55,1.96
912,-1.09,1.24,1.29
928,-0.97,0.99,0.96
944,-0.80,0.39,0.93
960,-0.51,-0.04,0.41
976,0.09,-0.78,0.30
992,0.62,-1.04,-0.04
1008,0.73,-0.82,-0.28
1024,0.47,-0.71,-0.07
1040,0.14,-0.63,0.04
1056,-0.07,-0.31,0.76
1072,-0.49,0.18,0.99
1088,-0.90,0.79,2.23
1104,-1.14,1.34,2.92
1120,-1.22,1.49,1.93
1136,-0.97,1.04,1.07
1152,-0.76,0.75,0.77
1168,-0.57,0.41,0.59
1184,-0.38,0.05,0.56
1200,0.17,-0.52,0.29
1216,0.60,-1.03,0.23
1232,0.72,-0.95,-0.08
1248,0.38,-0.75,0.17
1264,0.14,-0.49,0.19
1280,-0.14,-0.28,0.66
1296,-0.60,0.13,0.99
1312,-0.92,0.93,2.30
1328,-1.15,1.58,2.88
1344,-1.25,1.58,1.88
1360,-1.02,1.11,1.24
1376,-0.86,0.86,0.93
1392,-0.72,0.54,0.78
1408,-0.47,0.12,0.63
1424,0.15,-0.49,0.27
1440,0.60,-1.00,0.25
1456,0.80,-0.99,-0.14
1472,0.54,-0.78,0.11
1488,0.22,-0.58,0.42
1504,-0.00,-0.39,0.73
1520,-0.41,0.14,0.80
1536,-0.96,0.87,2.11
1552,-1.12,1.46,2.86
1568,-1.20,1.57,1.92
1584,-1.04,1.20,1.14
1600,-0.91,0.99,1.02
1616,-0.81,0.68,0.97
1632,-0.57,0.34,0.59
1648,-0.05,-0.37,0.41
1664,0.51,-0.91,0.16
1680,0.74,-0.84,0.11
1696,0.53,-0.78,0.13
1712,0.10,-0.51,0.70
1728,-0.08,-0.41,1.05
1744,-0.21,-0.04,0.72
1760,-0.71,0.49,1.34
1776,-1.02,1.18,2.45
1792,-1.24,1.54,2.40
1808,-1.16,1.39,1.55
1824,-1.02,1.14,1.10
1840,-0.90,0.77,1.33
1856,-0.70,0.39,0.70
1872,-0.21,-0.22,0.45
1888,0.51,-0.94,0.36
1904,0.73,-0.98,-0.11
1920,0.79,-1.01,-0.26
1936,0.33,-0.64,0.12
1952,0.15,-0.66,0.09
1968,0.00,-0.27,0.71
1984,-0.55,0.31,1.07
