timestamp,accX,accY,accZ
0,-0.31,-1.46,-0.06
16,-0.29,0.10,0.28
32,-0.11,0.43,0.35
48,0.10,0.16,-0.21
64,0.07,0.47,0.03
80,0.21,1.74,0.75
96,0.75,3.25,0.99
112,1.11,4.00,0.69
128,1.15,4.00,0.94
144,1.12,3.07,1.44
160,1.06,1.98,1.71
176,0.90,0.69,1.53
192,0.43,-0.85,1.18
208,-0.26,-3.37,1.07
224,-0.37,-3.84,0.11
240,-0.20,-1.87,-0.66
256,-0.28,-0.55,-0.06
272,-0.16,0.08,0.43
288,-0.11,0.36,0.40
304,-0.23,0.81,0.88
320,-0.01,2.11,1.39
336,0.70,3.99,1.13
352,1.05,4.00,0.87
368,1.21,4.00,1.12
384,1.32,3.48,1.45
400,1.30,1.95,1.52
416,1.03,-0.34,1.50
432,0.15,-2.36,1.35
448,-0.41,-4.00,0.91
464,-0.44,-3.51,-0.12
480,-0.54,-1.58,-0.52
496,-0.53,-0.70,-0.12
512,-0.44,-0.18,-0.02
528,-0.40,0.38,0.10
544,-0.16,1.42,0.54
560,0.43,2.88,0.76
576,0.89,4.00,0.66
592,1.04,3.94,0.97
608,1.30,3.96,1.27
624,1.33,2.87,1.71
640,1.09,1.25,1.82
656,0.35,-0.53,1.81
672,-0.36,-2.77,1.89
688,-0.55,-2.67,0.89
704,-0.43,-0.86,-0.08
720,-0.54,-0.23,-0.28
736,-0.42,-0.42,-0.32
752,-0.30,-0.35,-0.46
768,-0.29,0.30,-0.01
784,-0.09,1.64,0.59
800,0.50,3.34,0.69
816,0.72,3.83,0.72
832,0.80,3.23,1.27
848,0.87,2.83,1.74
864,0.78,1.88,1.91
880,0.53,0.29,1.70
896,-0.05,-0.81,1.32
912,-0.50,-3.03,1.20
928,-0.55,-3.16,0.30
944,-0.53,-1.42,-0.39
960,-0.44,-0.32,-0.43
976,-0.20,-0.07,-0.25
992,0.00,-0.28,-0.14
1008,-0.04,0.12,0.31
1024,0.07,1.21,0.96
1040,0.64,2.96,1.28
1056,1.05,4.00,1.03
1072,1.09,3.76,1.35
1088,1.22,3.47,1.82
1104,1.21,2.69,1.70
1120,1.11,1.77,1.46
1136,0.92,0.90,1.40
1152,0.47,-0.58,1.27
1168,-0.26,-2.02,1.19
1184,-0.64,-2.87,0.96
1200,-0.66,-1.94,0.28
1216,-0.60,-1.01,-0.06
1232,-0.59,-0.81,-0.05
1248,-0.39,-0.55,-0.02
1264,-0.15,-0.11,0.14
1280,0.04,0.30,0.39
1296,0.25,0.73,0.63
1312,0.48,1.50,0.87
1328,0.69,1.97,1.20
1344,0.69,2.45,1.26
1360,0.64,2.28,1.33
1376,0.61,2.26,1.44
1392,0.54,1.91,1.34
1408,0.45,1.32,1.12
1424,0.25,0.71,0.97
1440,0.03,0.31,0.90
1456,-0.12,-0.08,0.82
1472,-0.27,-0.45,0.65
1488,-0.41,-0.75,0.56
1504,-0.37,-0.41,0.45
1520,-0.33,0.09,0.63
1536,-0.20,0.83,0.84
1552,-0.03,1.87,0.99
1568,0.42,3.13,1.08
1584,0.67,3.39,0.93
1600,0.64,1.96,0.87
1616,0.50,-0.80,1.00
1632,-0.27,-2.86,0.79
1648,-0.65,-4.00,0.39
1664,-0.40,-2.27,-0.47
1680,-0.42,0.05,-0.33
1696,0.04,0.61,0.29
1712,0.29,0.09,0.23
1728,0.35,0.94,0.54
1744,0.79,2.58,1.34
1760,1.40,4.00,1.01
1776,1.56,4.00,1.17
1792,1.50,4.00,1.44
1808,1.37,3.46,1.96
1824,1.21,2.36,2.20
1840,0.79,-0.94,2.07
1856,-0.20,-3.60,1.58
1872,-0.78,-4.00,0.62
1888,-0.59,-3.12,-0.60
1904,-0.65,-0.79,-1.20
1920,-0.38,-0.46,-0.76
1936,-0.25,-0.55,0.02
1952,-0.12,0.80,0.51
1968,0.39,2.12,0.98
1984,1.00,4.00,0.83
