timestamp,accX,accY,accZ
0,0.49,0.31,0.83
16,0.49,0.30,0.83
32,0.49,0.30,0.82
48,0.49,0.30,0.81
64,0.49,0.30,0.81
80,0.49,0.30,0.81
96,0.49,0.30,0.81
112,0.49,0.30,0.81
128,0.49,0.30,0.81
144,0.49,0.30,0.82
160,0.49,0.30,0.82
176,0.48,0.30,0.82
192,0.49,0.29,0.82
208,0.49,0.29,0.82
224,0.49,0.29,0.83
240,0.48,0.30,0.83
256,0.48,0.30,0.84
272,0.49,0.29,0.84
288,0.49,0.30,0.84
304,0.48,0.30,0.84
320,0.48,0.31,0.84
336,0.48,0.30,0.85
352,0.47,0.29,0.85
368,0.48,0.31,0.84
384,0.48,0.31,0.84
400,0.49,0.32,0.84
416,0.48,0.32,0.84
432,0.47,0.33,0.84
448,0.47,0.32,0.84
464,0.47,0.32,0.84
480,0.48,0.32,0.84
496,0.47,0.32,0.84
512,0.47,0.33,0.84
528,0.46,0.34,0.83
544,0.45,0.35,0.82
560,0.46,0.35,0.83
576,0.46,0.35,0.82
592,0.47,0.35,0.82
608,0.47,0.34,0.82
624,0.46,0.35,0.83
640,0.45,0.35,0.84
656,0.45,0.35,0.84
672,0.46,0.33,0.85
688,0.47,0.32,0.84
704,0.47,0.33,0.83
720,0.47,0.33,0.83
736,0.46,0.33,0.83
752,0.46,0.33,0.84
768,0.47,0.32,0.84
784,0.47,0.31,0.84
800,0.47,0.30,0.83
816,0.48,0.30,0.83
832,0.47,0.31,0.84
848,0.47,0.30,0.84
864,0.47,0.30,0.84
880,0.47,0.30,0.85
896,0.47,0.30,0.85
912,0.47,0.30,0.84
928,0.47,0.31,0.84
944,0.47,0.31,0.85
960,0.46,0.31,0.85
976,0.46,0.32,0.85
992,0.46,0.31,0.85
1008,0.47,0.31,0.84
1024,0.46,0.31,0.84
1040,0.46,0.32,0.84
1056,0.45,0.34,0.84
1072,0.45,0.34,0.85
1088,0.45,0.35,0.85
1104,0.45,0.35,0.85
1120,0.45,0.35,0.84
1136,0.45,0.34,0.84
1152,0.44,0.35,0.84
1168,0.44,0.35,0.84
1184,0.44,0.35,0.84
1200,0.44,0.35,0.84
1216,0.45,0.34,0.84
1232,0.44,0.34,0.84
1248,0.45,0.34,0.84
1264,0.44,0.34,0.84
1280,0.44,0.34,0.84
1296,0.44,0.34,0.84
1312,0.44,0.33,0.84
1328,0.44,0.32,0.84
1344,0.45,0.32,0.85
1360,0.45,0.32,0.86
1376,0.44,0.32,0.86
1392,0.44,0.32,0.87
1408,0.44,0.32,0.87
1424,0.44,0.32,0.87
1440,0.44,0.32,0.86
1456,0.44,0.31,0.86
1472,0.43,0.32,0.86
1488,0.44,0.32,0.86
1504,0.43,0.32,0.86
1520,0.43,0.33,0.86
1536,0.43,0.33,0.86
1552,0.41,0.33,0.85
1568,0.40,0.32,0.85
1584,0.39,0.33,0.85
1600,0.39,0.33,0.90
1616,0.38,0.34,0.89
1632,0.40,0.33,0.87
1648,0.40,0.36,0.87
1664,0.39,0.37,0.86
1680,0.39,0.37,0.85
1696,0.40,0.37,0.83
1712,0.40,0.38,0.82
1728,0.40,0.37,0.84
1744,0.38,0.38,0.89
1760,0.37,0.37,0.90
1776,0.38,0.35,0.90
1792,0.38,0.35,0.89
1808,0.37,0.35,0.89
1824,0.38,0.34,0.88
1840,0.38,0.34,0.88
1856,0.37,0.35,0.88
1872,0.37,0.35,0.87
1888,0.38,0.35,0.87
1904,0.37,0.36,0.87
1920,0.37,0.35,0.86
1936,0.37,0.35,0.87
1952,0.37,0.35,0.87
1968,0.36,0.35,0.88
1984,0.36,0.34,0.89
