timestamp,accX,accY,accZ
0,0.36,-0.04,0.94
16,0.36,-0.04,0.95
32,0.34,-0.02,0.95
48,0.35,-0.01,0.95
64,0.35,-0.02,0.94
80,0.35,-0.05,0.95
96,0.36,-0.08,0.94
112,0.38,-0.09,0.93
128,0.38,-0.09,0.94
144,0.33,-0.02,0.95
160,0.37,-0.07,0.95
176,0.35,-0.02,0.94
192,0.36,-0.06,0.95
208,0.36,-0.04,0.94
224,0.35,-0.04,0.94
240,0.36,-0.05,0.94
256,0.36,-0.05,0.94
272,0.36,-0.05,0.94
288,0.36,-0.05,0.94
304,0.36,-0.05,0.94
320,0.36,-0.05,0.95
336,0.36,-0.05,0.95
352,0.37,-0.05,0.94
368,0.37,-0.05,0.94
384,0.37,-0.06,0.94
400,0.37,-0.05,0.95
416,0.36,-0.05,0.94
432,0.36,-0.05,0.94
448,0.36,-0.04,0.94
464,0.36,-0.04,0.94
480,0.36,-0.04,0.94
496,0.36,-0.05,0.94
512,0.36,-0.05,0.94
528,0.36,-0.05,0.94
544,0.36,-0.05,0.94
560,0.35,-0.05,0.94
576,0.36,-0.05,0.94
592,0.36,-0.05,0.94
608,0.36,-0.05,0.94
624,0.36,-0.04,0.94
640,0.35,-0.04,0.94
656,0.36,-0.05,0.94
672,0.37,-0.05,0.94
688,0.37,-0.04,0.94
704,0.36,-0.04,0.94
720,0.36,-0.04,0.94
736,0.36,-0.04,0.94
752,0.36,-0.04,0.94
768,0.36,-0.05,0.94
784,0.36,-0.05,0.94
800,0.36,-0.06,0.94
816,0.37,-0.06,0.94
832,0.37,-0.06,0.94
848,0.37,-0.06,0.94
864,0.37,-0.06,0.94
880,0.37,-0.06,0.95
896,0.36,-0.05,0.94
912,0.36,-0.04,0.94
928,0.36,-0.03,0.94
944,0.36,-0.03,0.94
960,0.36,-0.03,0.94
976,0.36,-0.04,0.95
992,0.36,-0.04,0.94
1008,0.36,-0.05,0.94
1024,0.36,-0.05,0.94
1040,0.36,-0.05,0.94
1056,0.36,-0.05,0.94
1072,0.35,-0.05,0.94
1088,0.36,-0.05,0.94
1104,0.36,-0.05,0.94
1120,0.36,-0.04,0.94
1136,0.36,-0.04,0.94
1152,0.36,-0.04,0.94
1168,0.36,-0.04,0.94
1184,0.37,-0.04,0.94
1200,0.37,-0.04,0.94
1216,0.36,-0.04,0.94
1232,0.36,-0.05,0.94
1248,0.36,-0.05,0.94
1264,0.36,-0.05,0.94
1280,0.36,-0.05,0.94
1296,0.36,-0.04,0.94
1312,0.36,-0.04,0.94
1328,0.36,-0.04,0.94
1344,0.36,-0.05,0.95
1360,0.36,-0.04,0.94
1376,0.36,-0.05,0.95
1392,0.36,-0.05,0.94
1408,0.36,-0.04,0.95
1424,0.36,-0.04,0.94
1440,0.36,-0.04,0.95
1456,0.36,-0.05,0.95
1472,0.36,-0.05,0.94
1488,0.37,-0.05,0.93
1504,0.37,-0.05,0.94
1520,0.37,-0.05,0.94
1536,0.37,-0.05,0.94
1552,0.37,-0.05,0.94
1568,0.37,-0.05,0.94
1584,0.37,-0.05,0.94
1600,0.37,-0.04,0.94
1616,0.37,-0.05,0.95
1632,0.37,-0.05,0.95
1648,0.36,-0.04,0.94
1664,0.36,-0.04,0.94
1680,0.37,-0.05,0.94
1696,0.37,-0.05,0.94
1712,0.37,-0.05,0.94
1728,0.37,-0.05,0.94
1744,0.37,-0.05,0.94
1760,0.37,-0.05,0.94
1776,0.36,-0.05,0.94
1792,0.37,-0.05,0.94
1808,0.36,-0.04,0.94
1824,0.36,-0.04,0.94
1840,0.36,-0.04,0.94
1856,0.36,-0.04,0.94
1872,0.36,-0.04,0.94
1888,0.36,-0.04,0.94
1904,0.36,-0.04,0.94
1920,0.37,-0.05,0.94
1936,0.36,-0.05,0.94
1952,0.36,-0.04,0.94
1968,0.37,-0.05,0.94
1984,0.37,-0.05,0.94
