timestamp,accX,accY,accZ
0,-0.07,-3.69,0.90
16,-0.56,-4.00,0.29
32,-0.36,-3.37,-0.64
48,-0.31,-0.76,-0.86
64,0.06,0.19,-0.33
80,0.11,0.08,0.16
96,-0.10,0.86,0.91
112,0.32,2.39,1.73
128,1.12,4.00,1.10
144,1.47,4.00,1.17
160,1.54,4.00,1.83
176,1.50,3.47,2.09
192,1.43,1.70,2.12
208,0.93,-1.12,1.79
224,-0.10,-3.97,1.42
240,-0.66,-4.00,0.37
256,-0.39,-3.75,-0.82
272,-0.24,-0.78,-1.41
288,0.03,0.22,-1.20
304,0.00,-0.10,-0.80
320,-0.36,-0.15,0.45
336,-0.10,2.17,1.05
352,0.74,4.00,1.31
368,1.12,4.00,1.02
384,1.15,3.95,1.34
400,1.19,2.56,1.94
416,1.03,1.58,2.10
432,0.84,1.07,1.50
448,0.57,0.34,1.30
464,0.03,-0.31,1.14
480,-0.35,-1.62,1.09
496,-0.37,-1.45,0.45
512,-0.23,-0.67,-0.27
528,-0.30,-0.63,-0.43
544,-0.36,-0.73,-0.20
560,-0.31,-0.32,-0.07
576,-0.26,0.10,0.27
592,-0.18,0.45,0.64
608,-0.03,0.82,0.83
624,0.00,0.97,1.08
640,0.01,0.98,1.32
656,0.11,1.17,1.24
672,0.22,1.25,1.03
688,0.21,1.20,0.99
704,0.17,1.13,1.06
720,0.18,1.17,1.05
736,0.19,1.15,0.84
752,0.19,1.03,0.72
768,0.13,0.84,0.68
784,0.10,0.63,0.66
800,0.06,0.54,0.59
816,0.04,0.51,0.54
832,-0.01,0.41,0.59
848,-0.06,0.37,0.68
864,-0.04,0.47,0.75
880,-0.03,0.53,0.81
896,-0.04,0.61,0.85
912,-0.01,0.79,0.86
928,-0.00,0.90,0.82
944,0.01,0.93,0.78
960,0.03,0.85,0.73
976,0.01,0.68,0.69
992,-0.01,0.56,0.67
1008,-0.02,0.49,0.68
1024,-0.03,0.46,0.69
1040,-0.02,0.42,0.70
1056,-0.01,0.39,0.69
1072,0.00,0.52,0.69
1088,0.00,0.63,0.76
1104,0.01,0.73,0.80
1120,0.04,0.81,0.82
1136,0.04,0.79,0.87
1152,0.03,0.79,0.90
1168,0.03,0.84,0.90
1184,0.04,0.85,0.90
1200,0.04,0.82,0.88
1216,0.03,0.85,0.85
1232,0.01,0.88,0.83
1248,-0.02,0.85,0.77
1264,-0.05,0.74,0.74
1280,-0.06,0.69,0.68
1296,-0.11,0.61,0.60
1312,-0.26,0.51,0.79
1328,-0.36,0.51,1.02
1344,-0.36,0.39,1.07
1360,-0.34,0.16,1.06
1376,-0.29,-0.01,0.96
1392,-0.18,0.02,0.84
1408,-0.08,0.22,0.80
1424,0.01,0.43,0.81
1440,0.16,0.88,0.61
1456,0.31,1.33,0.32
1472,0.40,1.51,0.26
1488,0.40,1.63,0.40
1504,0.40,1.55,0.63
1520,0.28,0.84,0.82
1536,-0.07,-0.51,1.00
1552,-0.48,-1.78,1.14
1568,-0.64,-1.98,1.02
1584,-0.68,-0.16,0.95
1600,-0.37,1.55,1.20
1616,0.32,3.06,1.22
1632,0.74,4.00,1.14
1648,1.08,4.00,1.05
1664,1.33,4.00,1.09
1680,1.12,2.54,1.45
1696,0.65,-0.97,1.45
1712,-0.48,-3.08,1.33
1728,-0.94,-4.00,1.14
1744,-0.31,-2.57,-0.72
1760,-0.19,-1.15,-1.20
1776,0.11,-0.94,-1.85
1792,0.12,-0.56,-0.61
1808,-0.08,1.18,0.56
1824,0.49,3.60,1.65
1840,1.03,4.00,1.62
1856,0.80,4.00,2.05
1872,0.64,2.98,2.55
1888,0.55,2.92,2.55
1904,0.58,1.65,2.00
1920,0.15,-1.26,0.87
1936,-0.22,-4.00,0.15
1952,-0.39,-4.00,-1.39
1968,-0.28,-1.48,-1.50
1984,0.34,0.64,-0.92
