timestamp,accX,accY,accZ
0,-0.01,0.35,0.69
16,-0.05,1.59,1.93
32,0.47,3.11,2.85
48,0.72,3.38,3.11
64,1.06,3.15,2.88
80,1.27,2.17,2.38
96,1.23,1.38,1.81
112,1.11,0.53,1.15
128,0.35,-0.86,0.26
144,-0.21,-2.97,-0.20
160,-0.13,-2.07,-0.79
176,-0.16,-0.22,-0.81
192,-0.09,0.27,0.14
208,0.03,0.35,0.18
224,0.04,0.46,0.17
240,0.11,1.38,1.01
256,0.48,2.19,2.06
272,0.82,3.14,2.10
288,0.91,2.38,2.04
304,0.87,1.30,1.80
320,0.84,0.56,1.20
336,0.45,-0.95,0.49
352,-0.20,-2.45,0.11
368,-0.07,-2.13,-0.61
384,0.04,-0.66,-0.77
400,0.02,-0.02,-0.36
416,0.19,0.46,-0.03
432,0.17,0.82,0.46
448,0.03,1.52,1.29
464,0.30,2.06,2.40
480,0.64,3.39,2.57
496,1.00,3.11,2.45
512,1.15,2.23,2.07
528,1.13,1.26,1.77
544,1.18,-0.02,1.14
560,0.32,-1.06,0.25
576,-0.28,-3.08,-0.09
592,0.06,-2.28,-0.65
608,0.07,-0.40,-0.88
624,0.05,0.14,-0.44
640,0.22,0.17,-0.35
656,0.18,0.32,-0.14
672,0.02,0.92,0.80
688,0.27,2.03,2.00
704,0.72,3.58,2.53
720,1.00,3.51,2.46
736,1.05,2.03,2.05
752,1.05,0.95,1.52
768,1.03,-0.09,0.95
784,0.26,-0.84,0.35
800,-0.18,-2.51,0.15
816,-0.10,-1.45,-0.26
832,-0.14,0.18,0.03
848,-0.06,0.65,0.54
864,0.02,0.39,0.23
880,-0.04,0.23,0.25
896,0.05,1.41,1.01
912,0.38,2.27,2.02
928,0.78,3.28,2.05
944,0.91,2.49,1.81
960,0.94,1.50,1.60
976,1.00,0.77,1.32
992,0.72,-0.84,0.82
1008,0.02,-2.25,0.19
1024,-0.17,-2.71,-0.28
1040,-0.04,-0.92,-0.50
1056,-0.05,0.09,0.05
1072,0.18,0.56,0.20
1088,0.32,0.64,-0.17
1104,0.07,0.47,0.30
1120,0.05,1.64,1.41
1136,0.31,2.56,2.35
1152,0.59,3.41,2.37
1168,0.83,2.51,2.08
1184,0.88,1.18,1.61
1200,0.96,0.15,1.14
1216,0.27,-0.88,0.58
1232,-0.19,-3.04,0.50
1248,-0.10,-2.04,-0.01
1264,-0.01,0.16,0.16
1280,0.06,1.01,0.71
1296,0.22,1.00,0.26
1312,0.27,0.74,-0.16
1328,0.34,1.63,0.24
1344,0.57,2.48,1.20
1360,0.72,3.08,1.71
1376,0.79,2.47,1.88
1392,0.72,1.38,1.88
1408,0.76,0.41,1.62
1424,0.45,-1.03,0.86
1440,-0.34,-3.14,0.63
1456,-0.33,-3.01,0.03
1472,-0.08,-0.59,-0.13
1488,-0.02,0.37,0.47
1504,0.28,0.75,0.19
1520,0.36,0.76,-0.34
1536,0.31,1.45,0.13
1552,0.49,2.13,1.50
1568,0.63,3.25,2.09
1584,0.70,2.99,2.32
1600,0.79,2.11,2.36
1616,0.82,1.12,2.20
1632,0.91,0.19,1.69
1648,0.46,-0.86,0.80
1664,-0.12,-2.80,0.44
1680,-0.10,-2.43,-0.21
1696,0.03,-0.24,-0.38
1712,-0.00,0.54,0.34
1728,0.24,0.77,0.17
1744,0.38,0.71,-0.45
1760,0.37,1.11,-0.10
1776,0.43,1.98,1.02
1792,0.65,2.96,1.63
1808,0.70,2.71,1.88
1824,0.58,1.51,2.06
1840,0.61,0.50,1.84
1856,0.40,-0.94,1.07
1872,-0.19,-2.84,0.61
1888,-0.23,-2.88,0.04
1904,-0.05,-0.19,0.01
1920,0.06,0.95,0.92
1936,0.18,1.03,0.73
1952,0.33,0.57,-0.03
1968,0.39,0.92,-0.10
1984,0.64,2.02,0.59
