timestamp,accX,accY,accZ
0,0.18,0.16,0.97
16,0.19,0.16,0.97
32,0.18,0.16,0.97
48,0.19,0.16,0.96
64,0.18,0.16,0.96
80,0.18,0.16,0.97
96,0.18,0.17,0.97
112,0.19,0.16,0.97
128,0.19,0.16,0.99
144,0.19,0.17,0.98
160,0.19,0.17,0.99
176,0.19,0.16,0.99
192,0.19,0.16,0.99
208,0.19,0.16,0.99
224,0.19,0.16,0.98
240,0.19,0.16,0.98
256,0.19,0.16,0.97
272,0.19,0.16,0.97
288,0.19,0.16,0.97
304,0.19,0.16,0.97
320,0.19,0.15,0.97
336,0.19,0.15,0.97
352,0.19,0.15,0.97
368,0.19,0.15,0.97
384,0.19,0.16,0.98
400,0.19,0.16,0.97
416,0.19,0.16,0.97
432,0.19,0.16,0.97
448,0.19,0.15,0.98
464,0.19,0.15,0.98
480,0.19,0.16,0.97
496,0.19,0.16,0.98
512,0.19,0.16,0.99
528,0.19,0.17,0.98
544,0.18,0.16,0.98
560,0.19,0.16,0.98
576,0.19,0.15,0.98
592,0.19,0.15,0.97
608,0.19,0.15,0.97
624,0.19,0.15,0.98
640,0.19,0.16,0.97
656,0.18,0.16,0.97
672,0.18,0.16,0.98
688,0.19,0.15,0.98
704,0.19,0.16,0.97
720,0.19,0.16,0.97
736,0.19,0.16,0.97
752,0.19,0.16,0.97
768,0.18,0.17,0.97
784,0.19,0.17,0.97
800,0.19,0.16,0.98
816,0.18,0.16,0.98
832,0.18,0.16,0.98
848,0.19,0.16,0.99
864,0.19,0.16,0.98
880,0.19,0.16,0.97
896,0.19,0.16,0.98
912,0.18,0.16,0.98
928,0.18,0.17,0.98
944,0.18,0.18,0.98
960,0.18,0.18,0.98
976,0.18,0.17,0.98
992,0.18,0.16,0.98
1008,0.19,0.14,0.98
1024,0.19,0.13,0.97
1040,0.19,0.12,0.98
1056,0.19,0.12,0.97
1072,0.19,0.14,0.97
1088,0.19,0.14,0.96
1104,0.19,0.14,0.95
1120,0.19,0.13,0.95
1136,0.20,0.12,0.95
1152,0.20,0.09,0.97
1168,0.21,0.06,0.98
1184,0.22,0.04,0.98
1200,0.22,0.04,0.99
1216,0.22,0.05,0.99
1232,0.22,0.06,0.98
1248,0.22,0.07,0.98
1264,0.22,0.08,0.97
1280,0.22,0.08,0.97
1296,0.21,0.09,0.97
1312,0.21,0.08,0.97
1328,0.21,0.07,0.98
1344,0.22,0.05,0.99
1360,0.22,0.04,0.99
1376,0.22,0.03,0.99
1392,0.22,0.04,0.98
1408,0.22,0.04,0.98
1424,0.22,0.04,0.98
1440,0.22,0.04,0.99
1456,0.22,0.03,0.98
1472,0.22,0.03,0.97
1488,0.22,0.02,0.98
1504,0.23,0.01,0.98
1520,0.23,0.01,0.98
1536,0.23,0.01,0.98
1552,0.23,0.01,0.98
1568,0.23,0.01,0.98
1584,0.23,0.01,0.98
1600,0.23,0.00,0.97
1616,0.24,-0.00,0.98
1632,0.23,-0.01,0.98
1648,0.23,-0.01,0.98
1664,0.23,-0.01,0.97
1680,0.23,-0.02,0.98
1696,0.24,-0.03,0.98
1712,0.24,-0.03,0.97
1728,0.24,-0.02,0.97
1744,0.24,-0.02,0.97
1760,0.24,-0.03,0.97
1776,0.24,-0.03,0.98
1792,0.24,-0.03,0.98
1808,0.24,-0.02,0.97
1824,0.24,-0.03,0.97
1840,0.24,-0.02,0.97
1856,0.24,-0.02,0.97
1872,0.24,-0.02,0.96
1888,0.24,-0.03,0.98
1904,0.24,-0.03,0.98
1920,0.24,-0.04,0.98
1936,0.24,-0.05,0.98
1952,0.25,-0.05,0.98
1968,0.24,-0.06,0.97
1984,0.25,-0.07,0.98
