timestamp,accX,accY,accZ
0,0.47,0.03,0.89
16,0.47,0.04,0.89
32,0.47,0.05,0.89
48,0.46,0.05,0.89
64,0.46,0.05,0.89
80,0.46,0.04,0.89
96,0.46,0.04,0.90
112,0.47,0.03,0.90
128,0.46,0.03,0.90
144,0.46,0.04,0.90
160,0.46,0.04,0.90
176,0.47,0.04,0.90
192,0.46,0.04,0.90
208,0.46,0.04,0.89
224,0.46,0.04,0.89
240,0.46,0.04,0.89
256,0.46,0.04,0.89
272,0.46,0.04,0.89
288,0.46,0.03,0.89
304,0.46,0.03,0.89
320,0.46,0.02,0.89
336,0.46,0.02,0.90
352,0.46,0.01,0.90
368,0.46,0.02,0.90
384,0.46,0.02,0.90
400,0.47,0.02,0.90
416,0.47,0.01,0.90
432,0.46,0.01,0.91
448,0.47,0.00,0.91
464,0.47,0.01,0.91
480,0.47,0.01,0.91
496,0.47,0.01,0.91
512,0.47,0.01,0.91
528,0.46,0.01,0.91
544,0.46,0.00,0.92
560,0.47,-0.00,0.91
576,0.47,-0.00,0.92
592,0.47,-0.00,0.91
608,0.47,0.00,0.91
624,0.47,0.00,0.91
640,0.46,0.01,0.91
656,0.46,0.00,0.91
672,0.46,0.00,0.91
688,0.46,0.00,0.91
704,0.46,0.00,0.90
720,0.46,0.01,0.90
736,0.45,0.01,0.90
752,0.46,0.01,0.90
768,0.46,0.01,0.90
784,0.46,0.02,0.91
800,0.46,0.01,0.91
816,0.46,0.01,0.91
832,0.45,0.01,0.92
848,0.45,0.01,0.92
864,0.45,0.01,0.92
880,0.45,0.01,0.91
896,0.45,0.01,0.90
912,0.45,0.01,0.89
928,0.45,0.02,0.89
944,0.45,0.02,0.89
960,0.45,0.02,0.90
976,0.45,0.02,0.91
992,0.44,0.02,0.92
1008,0.45,0.02,0.91
1024,0.45,0.02,0.90
1040,0.46,0.03,0.89
1056,0.46,0.03,0.88
1072,0.47,0.03,0.88
1088,0.46,0.02,0.89
1104,0.46,0.02,0.89
1120,0.46,0.01,0.89
1136,0.47,0.00,0.89
1152,0.48,-0.00,0.89
1168,0.47,-0.01,0.89
1184,0.48,-0.01,0.89
1200,0.48,-0.01,0.89
1216,0.48,-0.02,0.89
1232,0.48,-0.02,0.89
1248,0.47,-0.02,0.89
1264,0.47,-0.03,0.89
1280,0.48,-0.03,0.89
1296,0.47,-0.02,0.89
1312,0.46,-0.01,0.90
1328,0.46,-0.01,0.90
1344,0.46,-0.00,0.91
1360,0.46,-0.00,0.92
1376,0.45,0.00,0.92
1392,0.45,0.00,0.92
1408,0.45,0.01,0.93
1424,0.44,0.02,0.92
1440,0.45,0.02,0.92
1456,0.44,0.02,0.92
1472,0.45,0.01,0.92
1488,0.43,0.04,0.93
1504,0.43,0.04,0.93
1520,0.43,0.03,0.93
1536,0.44,0.04,0.92
1552,0.43,0.04,0.92
1568,0.44,0.05,0.91
1584,0.43,0.04,0.91
1600,0.43,0.03,0.92
1616,0.44,0.02,0.92
1632,0.44,0.02,0.91
1648,0.45,0.02,0.91
1664,0.45,0.02,0.90
1680,0.46,0.03,0.90
1696,0.46,0.02,0.90
1712,0.46,0.02,0.90
1728,0.46,0.03,0.91
1744,0.46,0.02,0.91
1760,0.46,0.02,0.91
1776,0.45,0.03,0.91
1792,0.45,0.02,0.91
1808,0.45,0.02,0.91
1824,0.45,0.02,0.90
1840,0.45,0.02,0.90
1856,0.45,0.02,0.90
1872,0.44,0.02,0.90
1888,0.44,0.02,0.90
1904,0.43,0.03,0.91
1920,0.44,0.03,0.91
1936,0.44,0.04,0.91
1952,0.44,0.04,0.91
1968,0.44,0.04,0.91
1984,0.44,0.04,0.91
