timestamp,accX,accY,accZ
0,0.52,0.06,0.88
16,0.50,0.04,0.89
32,0.46,0.05,0.90
48,0.33,0.12,0.90
64,0.40,0.09,0.92
80,0.39,0.07,0.94
96,0.40,0.05,0.94
112,0.41,0.03,0.94
128,0.41,0.07,0.93
144,0.41,0.06,0.93
160,0.40,0.06,0.93
176,0.41,0.06,0.92
192,0.41,0.03,0.90
208,0.41,0.03,0.89
224,0.42,0.04,0.88
240,0.44,0.02,0.90
256,0.44,0.03,0.92
272,0.44,0.05,0.93
288,0.41,0.07,0.93
304,0.40,0.10,0.92
320,0.38,0.11,0.91
336,0.36,0.11,0.91
352,0.34,0.11,0.90
368,0.34,0.10,0.90
384,0.36,0.12,0.88
400,0.38,0.14,0.86
416,0.38,0.16,0.85
432,0.39,0.16,0.86
448,0.38,0.16,0.86
464,0.36,0.13,0.87
480,0.34,0.10,0.86
496,0.35,0.09,0.85
512,0.34,0.08,0.84
528,0.37,0.08,0.83
544,0.39,0.08,0.83
560,0.41,0.08,0.85
576,0.42,0.07,0.86
592,0.42,0.06,0.85
608,0.44,0.04,0.85
624,0.44,0.03,0.85
640,0.45,-0.02,0.86
656,0.46,-0.05,0.88
672,0.50,-0.07,0.90
688,0.54,-0.06,0.92
704,0.56,-0.03,0.95
720,0.55,-0.01,0.98
736,0.52,0.01,0.99
752,0.49,0.03,1.01
768,0.47,0.04,1.03
784,0.45,0.05,1.04
800,0.45,0.03,1.03
816,0.45,0.03,1.00
832,0.45,0.02,0.99
848,0.46,0.02,0.96
864,0.47,0.02,0.95
880,0.47,0.02,0.97
896,0.45,0.04,0.98
912,0.43,0.05,0.99
928,0.42,0.05,0.99
944,0.42,0.04,0.99
960,0.41,0.04,0.98
976,0.40,0.03,0.96
992,0.39,0.02,0.95
1008,0.39,0.01,0.95
1024,0.37,0.02,0.94
1040,0.35,0.01,0.94
1056,0.35,0.02,0.94
1072,0.34,0.06,0.94
1088,0.32,0.08,0.95
1104,0.30,0.11,0.94
1120,0.28,0.12,0.93
1136,0.29,0.13,0.92
1152,0.31,0.15,0.90
1168,0.31,0.15,0.89
1184,0.28,0.16,0.87
1200,0.40,0.09,0.88
1216,0.26,0.20,0.82
1232,0.31,0.13,0.83
1248,0.32,0.10,0.82
1264,0.35,0.07,0.85
1280,0.32,0.05,0.85
1296,0.35,0.02,0.87
1312,0.37,-0.02,0.88
1328,0.35,-0.05,0.89
1344,0.37,-0.07,0.91
1360,0.38,-0.07,0.94
1376,0.40,-0.07,0.98
1392,0.40,-0.04,1.02
1408,0.38,0.01,1.05
1424,0.37,0.07,1.08
1440,0.33,0.12,1.09
1456,0.30,0.15,1.11
1472,0.30,0.17,1.12
1488,0.29,0.18,1.10
1504,0.26,0.18,1.10
1520,0.24,0.14,1.12
1536,0.21,0.10,1.12
1552,0.21,0.07,1.12
1568,0.20,0.07,1.10
1584,0.19,0.06,1.09
1600,0.20,0.05,1.07
1616,0.20,0.05,1.04
1632,0.19,0.05,1.02
1648,0.19,0.05,0.99
1664,0.18,0.04,0.98
1680,0.18,0.03,0.96
1696,0.17,0.01,0.96
1712,0.16,0.03,0.94
1728,0.18,-0.00,0.94
1744,0.15,0.03,0.93
1760,0.18,-0.00,0.93
1776,0.14,0.02,0.93
1792,0.18,-0.00,0.95
1808,0.14,0.01,0.96
1824,0.16,-0.01,0.97
1840,0.16,-0.01,0.98
1856,0.14,-0.01,0.98
1872,0.17,-0.03,0.99
1888,0.15,-0.04,1.01
1904,0.15,-0.05,1.03
1920,0.12,-0.06,1.04
1936,0.13,-0.06,1.04
1952,0.11,-0.04,1.03
1968,0.12,-0.04,1.02
1984,0.11,-0.03,1.00
