timestamp,accX,accY,accZ
0,0.41,0.49,0.79
16,0.42,0.48,0.80
32,0.42,0.45,0.80
48,0.42,0.45,0.80
64,0.42,0.47,0.80
80,0.41,0.48,0.78
96,0.40,0.51,0.78
112,0.38,0.52,0.80
128,0.36,0.48,0.82
144,0.35,0.44,0.81
160,0.39,0.46,0.81
176,0.43,0.47,0.78
192,0.44,0.50,0.76
208,0.43,0.53,0.75
224,0.42,0.54,0.74
240,0.41,0.55,0.75
256,0.40,0.53,0.76
272,0.40,0.48,0.77
288,0.40,0.46,0.78
304,0.39,0.47,0.79
320,0.39,0.49,0.79
336,0.39,0.51,0.77
352,0.39,0.52,0.76
368,0.40,0.52,0.76
384,0.41,0.52,0.77
400,0.41,0.52,0.78
416,0.40,0.52,0.78
432,0.41,0.50,0.78
448,0.41,0.50,0.78
464,0.41,0.48,0.78
480,0.42,0.47,0.79
496,0.40,0.48,0.79
512,0.39,0.48,0.80
528,0.39,0.47,0.80
544,0.41,0.46,0.81
560,0.41,0.46,0.81
576,0.41,0.47,0.81
592,0.43,0.46,0.81
608,0.43,0.47,0.80
624,0.43,0.49,0.80
640,0.42,0.48,0.81
656,0.41,0.47,0.82
672,0.41,0.46,0.81
688,0.41,0.47,0.80
704,0.40,0.49,0.79
720,0.40,0.49,0.80
736,0.40,0.48,0.80
752,0.40,0.49,0.80
768,0.40,0.48,0.80
784,0.40,0.50,0.81
800,0.39,0.48,0.81
816,0.41,0.47,0.82
832,0.41,0.48,0.80
848,0.40,0.50,0.78
864,0.41,0.51,0.76
880,0.40,0.51,0.78
896,0.39,0.49,0.78
912,0.40,0.49,0.79
928,0.39,0.48,0.80
944,0.41,0.48,0.81
960,0.41,0.47,0.81
976,0.42,0.45,0.82
992,0.43,0.43,0.81
1008,0.43,0.43,0.80
1024,0.44,0.44,0.78
1040,0.43,0.47,0.77
1056,0.41,0.49,0.79
1072,0.41,0.47,0.79
1088,0.41,0.47,0.81
1104,0.40,0.48,0.83
1120,0.41,0.45,0.83
1136,0.42,0.43,0.82
1152,0.43,0.41,0.80
1168,0.41,0.43,0.82
1184,0.39,0.45,0.82
1200,0.41,0.46,0.81
1216,0.43,0.45,0.78
1232,0.45,0.43,0.76
1248,0.43,0.45,0.77
1264,0.40,0.46,0.81
1280,0.39,0.47,0.83
1296,0.41,0.43,0.82
1312,0.43,0.42,0.81
1328,0.44,0.43,0.82
1344,0.41,0.44,0.85
1360,0.38,0.46,0.84
1376,0.39,0.47,0.83
1392,0.39,0.48,0.84
1408,0.41,0.48,0.82
1424,0.42,0.47,0.80
1440,0.43,0.48,0.81
1456,0.41,0.49,0.83
1472,0.42,0.45,0.81
1488,0.42,0.45,0.82
1504,0.43,0.44,0.83
1520,0.43,0.44,0.82
1536,0.41,0.44,0.84
1552,0.41,0.45,0.83
1568,0.43,0.46,0.80
1584,0.43,0.45,0.77
1600,0.44,0.45,0.79
1616,0.42,0.44,0.82
1632,0.41,0.43,0.83
1648,0.44,0.42,0.80
1664,0.45,0.42,0.79
1680,0.45,0.40,0.78
1696,0.47,0.39,0.79
1712,0.46,0.38,0.80
1728,0.48,0.36,0.80
1744,0.50,0.34,0.78
1760,0.50,0.35,0.80
1776,0.48,0.35,0.80
1792,0.47,0.37,0.80
1808,0.48,0.38,0.82
1824,0.49,0.41,0.80
1840,0.49,0.38,0.78
1856,0.49,0.35,0.78
1872,0.49,0.33,0.79
1888,0.50,0.31,0.81
1904,0.49,0.31,0.83
1920,0.47,0.32,0.83
1936,0.47,0.31,0.83
1952,0.48,0.32,0.83
1968,0.49,0.31,0.85
1984,0.51,0.30,0.85
