timestamp,accX,accY,accZ
0,0.40,0.04,0.93
16,0.40,0.04,0.92
32,0.40,0.05,0.92
48,0.40,0.04,0.92
64,0.40,0.04,0.93
80,0.40,0.04,0.92
96,0.41,0.03,0.93
112,0.40,0.02,0.92
128,0.41,0.01,0.92
144,0.41,0.01,0.93
160,0.41,0.00,0.93
176,0.41,0.01,0.93
192,0.41,0.01,0.93
208,0.40,0.01,0.93
224,0.40,0.01,0.92
240,0.41,0.01,0.93
256,0.41,0.01,0.92
272,0.41,0.01,0.92
288,0.41,0.01,0.93
304,0.41,0.02,0.93
320,0.40,0.01,0.93
336,0.41,0.01,0.93
352,0.40,0.01,0.92
368,0.41,0.01,0.92
384,0.41,0.01,0.92
400,0.41,0.02,0.92
416,0.41,0.02,0.92
432,0.41,0.02,0.92
448,0.41,0.01,0.93
464,0.41,0.01,0.93
480,0.41,0.01,0.93
496,0.41,0.01,0.93
512,0.41,0.01,0.92
528,0.40,0.02,0.93
544,0.41,0.02,0.93
560,0.40,0.01,0.92
576,0.41,0.01,0.93
592,0.41,0.01,0.93
608,0.41,0.00,0.93
624,0.41,0.01,0.93
640,0.41,0.02,0.92
656,0.40,0.03,0.92
672,0.40,0.03,0.92
688,0.40,0.03,0.92
704,0.40,0.02,0.93
720,0.40,0.03,0.92
736,0.40,0.02,0.92
752,0.40,0.03,0.92
768,0.40,0.03,0.93
784,0.41,0.02,0.93
800,0.40,0.02,0.93
816,0.40,0.03,0.93
832,0.41,0.03,0.93
848,0.40,0.03,0.93
864,0.40,0.02,0.93
880,0.40,0.03,0.93
896,0.40,0.03,0.94
912,0.40,0.03,0.94
928,0.41,0.03,0.94
944,0.41,0.03,0.94
960,0.41,0.02,0.93
976,0.41,0.02,0.94
992,0.41,0.03,0.94
1008,0.40,0.03,0.93
1024,0.40,0.04,0.93
1040,0.40,0.03,0.93
1056,0.41,0.02,0.92
1072,0.41,0.02,0.92
1088,0.41,0.02,0.92
1104,0.40,0.02,0.92
1120,0.40,0.03,0.92
1136,0.40,0.04,0.92
1152,0.40,0.04,0.92
1168,0.41,0.04,0.92
1184,0.41,0.03,0.91
1200,0.41,0.02,0.91
1216,0.41,0.01,0.92
1232,0.41,0.01,0.92
1248,0.41,0.01,0.92
1264,0.40,0.02,0.92
1280,0.40,0.03,0.92
1296,0.41,0.04,0.92
1312,0.40,0.05,0.93
1328,0.41,0.04,0.92
1344,0.42,0.03,0.92
1360,0.42,0.02,0.93
1376,0.41,0.04,0.91
1392,0.41,0.02,0.92
1408,0.39,0.04,0.94
1424,0.40,0.04,0.95
1440,0.42,0.04,0.94
1456,0.41,0.03,0.92
1472,0.41,0.02,0.92
1488,0.42,0.01,0.91
1504,0.43,-0.01,0.91
1520,0.42,0.02,0.92
1536,0.40,0.05,0.93
1552,0.40,0.05,0.92
1568,0.41,0.04,0.92
1584,0.41,0.04,0.92
1600,0.42,0.04,0.92
1616,0.42,0.03,0.92
1632,0.43,0.01,0.92
1648,0.44,-0.00,0.92
1664,0.43,-0.01,0.91
1680,0.42,-0.01,0.91
1696,0.43,-0.01,0.92
1712,0.43,-0.00,0.91
1728,0.43,-0.00,0.91
1744,0.42,0.01,0.89
1760,0.42,0.04,0.89
1776,0.41,0.05,0.89
1792,0.42,0.03,0.89
1808,0.43,-0.00,0.89
1824,0.45,-0.03,0.90
1840,0.45,-0.06,0.91
1856,0.45,-0.03,0.89
1872,0.44,-0.03,0.89
1888,0.44,-0.02,0.89
1904,0.44,0.00,0.86
1920,0.43,0.01,0.86
1936,0.43,-0.02,0.88
1952,0.43,-0.07,0.90
1968,0.44,-0.11,0.90
1984,0.45,-0.14,0.91
