timestamp,accX,accY,accZ
0,0.28,0.17,0.95
16,0.28,0.18,0.95
32,0.28,0.18,0.95
48,0.28,0.17,0.95
64,0.28,0.18,0.95
80,0.29,0.18,0.94
96,0.29,0.19,0.93
112,0.28,0.20,0.93
128,0.28,0.19,0.93
144,0.28,0.19,0.94
160,0.28,0.18,0.93
176,0.28,0.18,0.94
192,0.28,0.19,0.93
208,0.28,0.19,0.93
224,0.28,0.20,0.93
240,0.27,0.21,0.93
256,0.27,0.21,0.93
272,0.27,0.21,0.94
288,0.26,0.21,0.94
304,0.26,0.21,0.94
320,0.27,0.21,0.94
336,0.27,0.20,0.95
352,0.27,0.20,0.95
368,0.28,0.20,0.95
384,0.27,0.20,0.95
400,0.27,0.20,0.95
416,0.27,0.20,0.95
432,0.27,0.20,0.94
448,0.27,0.19,0.95
464,0.28,0.18,0.95
480,0.29,0.18,0.95
496,0.28,0.18,0.95
512,0.29,0.18,0.94
528,0.28,0.18,0.94
544,0.28,0.16,0.94
560,0.29,0.14,0.93
576,0.30,0.14,0.93
592,0.30,0.13,0.92
608,0.30,0.13,0.91
624,0.30,0.14,0.91
640,0.29,0.14,0.90
656,0.28,0.15,0.90
672,0.28,0.13,0.91
688,0.26,0.14,0.92
704,0.29,0.11,0.93
720,0.28,0.12,0.95
736,0.31,0.13,0.95
752,0.26,0.16,0.95
768,0.27,0.15,0.96
784,0.24,0.15,0.97
800,0.29,0.15,0.97
816,0.28,0.17,0.97
832,0.26,0.16,0.98
848,0.26,0.14,0.99
864,0.26,0.12,1.00
880,0.26,0.11,1.00
896,0.27,0.13,1.00
912,0.25,0.17,0.99
928,0.24,0.15,0.98
944,0.23,0.15,0.97
960,0.23,0.17,0.97
976,0.21,0.14,0.97
992,0.25,0.14,0.96
1008,0.22,0.14,0.95
1024,0.24,0.17,0.93
1040,0.21,0.14,0.93
1056,0.25,0.13,0.95
1072,0.23,0.13,0.96
1088,0.26,0.12,0.97
1104,0.26,0.12,0.98
1120,0.24,0.16,0.97
1136,0.23,0.14,0.97
1152,0.21,0.16,0.99
1168,0.22,0.15,1.01
1184,0.23,0.11,1.03
1200,0.26,0.07,1.05
1216,0.26,0.08,1.05
1232,0.24,0.10,1.03
1248,0.24,0.11,1.02
1264,0.24,0.10,1.01
1280,0.26,0.10,1.01
1296,0.29,0.09,0.99
1312,0.31,0.11,0.98
1328,0.27,0.09,0.98
1344,0.23,0.12,0.98
1360,0.20,0.10,0.99
1376,0.19,0.07,1.01
1392,0.21,0.04,1.01
1408,0.24,0.05,0.99
1424,0.26,0.06,0.96
1440,0.26,0.05,0.94
1456,0.28,0.07,0.93
1472,0.28,0.10,0.93
1488,0.25,0.13,0.95
1504,0.23,0.14,0.95
1520,0.24,0.12,0.96
1536,0.23,0.10,0.99
1552,0.24,0.08,1.01
1568,0.24,0.07,1.01
1584,0.24,0.06,1.01
1600,0.23,0.09,1.00
1616,0.22,0.10,0.97
1632,0.21,0.11,0.94
1648,0.22,0.11,0.94
1664,0.24,0.11,0.94
1680,0.25,0.10,0.93
1696,0.26,0.10,0.93
1712,0.25,0.10,0.94
1728,0.25,0.11,0.95
1744,0.24,0.10,0.96
1760,0.24,0.10,0.96
1776,0.24,0.10,0.97
1792,0.24,0.10,0.97
1808,0.24,0.10,0.96
1824,0.25,0.09,0.96
1840,0.24,0.11,0.96
1856,0.24,0.13,0.95
1872,0.24,0.12,0.94
1888,0.23,0.14,0.95
1904,0.25,0.12,0.97
1920,0.25,0.12,0.97
1936,0.24,0.12,0.98
1952,0.25,0.10,0.98
1968,0.23,0.11,0.97
1984,0.24,0.09,0.98
