timestamp,accX,accY,accZ
0,0.46,-0.17,0.89
16,0.45,-0.15,0.86
32,0.45,-0.13,0.85
48,0.43,-0.13,0.83
64,0.43,-0.15,0.85
80,0.42,-0.18,0.84
96,0.42,-0.22,0.85
112,0.42,-0.26,0.87
128,0.42,-0.31,0.93
144,0.41,-0.32,0.96
160,0.40,-0.33,1.00
176,0.38,-0.31,0.99
192,0.39,-0.32,0.97
208,0.42,-0.32,0.95
224,0.43,-0.32,0.92
240,0.44,-0.33,0.90
256,0.45,-0.34,0.88
272,0.44,-0.34,0.88
288,0.43,-0.31,0.84
304,0.42,-0.28,0.83
320,0.40,-0.26,0.82
336,0.40,-0.26,0.82
352,0.40,-0.27,0.85
368,0.41,-0.32,0.88
384,0.38,-0.33,0.88
400,0.37,-0.34,0.89
416,0.37,-0.32,0.89
432,0.36,-0.30,0.88
448,0.35,-0.29,0.88
464,0.35,-0.28,0.87
480,0.35,-0.28,0.87
496,0.35,-0.28,0.86
512,0.35,-0.28,0.85
528,0.34,-0.26,0.84
544,0.34,-0.27,0.84
560,0.33,-0.28,0.87
576,0.30,-0.27,0.89
592,0.27,-0.26,0.91
608,0.33,-0.32,0.96
624,0.25,-0.21,0.93
640,0.25,-0.24,0.91
656,0.31,-0.27,0.90
672,0.29,-0.24,0.91
688,0.28,-0.20,0.79
704,0.25,-0.27,0.82
720,0.25,-0.23,0.82
736,0.26,-0.25,0.85
752,0.21,-0.23,0.89
768,0.17,-0.29,0.96
784,0.32,-0.38,0.97
800,0.07,-0.18,0.99
816,0.20,-0.29,1.01
832,0.22,-0.28,1.00
848,0.17,-0.27,0.99
864,0.24,-0.33,0.98
880,0.21,-0.30,0.98
896,0.19,-0.30,1.00
912,0.20,-0.29,1.01
928,0.18,-0.28,1.01
944,0.15,-0.26,1.02
960,0.16,-0.29,1.02
976,0.15,-0.29,1.00
992,0.16,-0.30,0.97
1008,0.17,-0.29,0.95
1024,0.17,-0.29,0.93
1040,0.17,-0.27,0.93
1056,0.17,-0.27,0.94
1072,0.17,-0.28,0.93
1088,0.17,-0.28,0.95
1104,0.17,-0.31,0.95
1120,0.18,-0.31,0.96
1136,0.18,-0.32,0.96
1152,0.17,-0.32,0.95
1168,0.18,-0.31,0.95
1184,0.17,-0.30,0.96
1200,0.17,-0.30,0.96
1216,0.16,-0.30,0.97
1232,0.17,-0.30,0.95
1248,0.17,-0.30,0.95
1264,0.17,-0.30,0.96
1280,0.16,-0.30,0.96
1296,0.15,-0.30,0.97
1312,0.18,-0.29,0.95
1328,0.18,-0.29,0.94
1344,0.16,-0.29,0.92
1360,0.17,-0.30,0.92
1376,0.17,-0.30,0.91
1392,0.17,-0.29,0.91
1408,0.16,-0.31,0.94
1424,0.15,-0.30,0.96
1440,0.14,-0.29,0.96
1456,0.15,-0.29,0.95
1472,0.15,-0.28,0.96
1488,0.15,-0.27,0.96
1504,0.15,-0.27,0.96
1520,0.15,-0.27,0.96
1536,0.15,-0.28,0.97
1552,0.16,-0.29,0.97
1568,0.16,-0.29,0.98
1584,0.15,-0.29,0.98
1600,0.15,-0.28,0.98
1616,0.15,-0.27,0.98
1632,0.14,-0.27,0.97
1648,0.14,-0.26,0.98
1664,0.14,-0.26,0.97
1680,0.14,-0.26,0.96
1696,0.14,-0.27,0.96
1712,0.15,-0.27,0.95
1728,0.15,-0.27,0.95
1744,0.15,-0.27,0.95
1760,0.15,-0.27,0.95
1776,0.14,-0.28,0.96
1792,0.14,-0.27,0.97
1808,0.14,-0.27,0.96
1824,0.15,-0.27,0.95
1840,0.15,-0.26,0.94
1856,0.16,-0.25,0.93
1872,0.17,-0.26,0.93
1888,0.18,-0.27,0.96
1904,0.16,-0.28,0.96
1920,0.14,-0.28,0.96
1936,0.13,-0.29,0.95
1952,0.13,-0.29,0.96
1968,0.14,-0.28,0.96
1984,0.15,-0.27,0.97
